update,mean_train_u_ctrl,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_checkpoint_score,validation_meets_unique_floor
650,0.10511718749999999,RL-sBOED,0.6235136985778809,41600,3.8442623615264893,0.10230468750000002,19,2.036536130844084,0.1484375,0.10230468750000002,0
651,0.10125,RL-sBOED,0.6198198795318604,41664,3.8465797901153564,,,,,,
652,0.1040625,RL-sBOED,0.6231691837310791,41728,3.8567616939544678,,,,,,
653,0.1072265625,RL-sBOED,0.6242492198944092,41792,3.8755505084991455,,,,,,
654,0.1100390625,RL-sBOED,0.6239163875579834,41856,3.870253086090088,,,,,,
655,0.11531250000000001,RL-sBOED,0.623802900314331,41920,3.870288848876953,,,,,,
656,0.108984375,RL-sBOED,0.6239066123962402,41984,3.8698441982269287,,,,,,
657,0.1065234375,RL-sBOED,0.6234471797943115,42048,3.8879051208496094,,,,,,
658,0.1107421875,RL-sBOED,0.6233062744140625,42112,3.873305559158325,,,,,,
659,0.111796875,RL-sBOED,0.619347333908081,42176,3.8766191005706787,,,,,,
660,0.104765625,RL-sBOED,0.6225271224975586,42240,3.8737969398498535,,,,,,
661,0.1125,RL-sBOED,0.6227986812591553,42304,3.8554654121398926,,,,,,
662,0.10722656250000001,RL-sBOED,0.6229586601257324,42368,3.8472142219543457,,,,,,
663,0.0984375,RL-sBOED,0.6229112148284912,42432,3.8526737689971924,,,,,,
664,0.104765625,RL-sBOED,0.6235554218292236,42496,3.8624420166015625,,,,,,
665,0.116015625,RL-sBOED,0.6206638813018799,42560,3.874803304672241,,,,,,
666,0.10722656250000001,RL-sBOED,0.6223936080932617,42624,3.8420281410217285,,,,,,
667,0.10441406250000002,RL-sBOED,0.6227331161499023,42688,3.864795446395874,,,,,,
668,0.1156640625,RL-sBOED,0.6231145858764648,42752,3.86767315864563,,,,,,
669,0.10863281250000001,RL-sBOED,0.6262111663818359,42816,3.8714020252227783,,,,,,
670,0.10054687500000001,RL-sBOED,0.6349260807037354,42880,3.8531696796417236,,,,,,
