system,sequence,xi1,xi2,xi3,mean_u_ctrl,std_u_ctrl,mean_u_raw,std_u_raw,n_eval
ieee5,8 25 19,8,25,19,0.8487500000000001,0.13037805605238945,0.8474999999999999,0.1472455432262722,80.0
ieee5,17 27 5,17,27,5,0.8912500000000001,0.1334107847964324,0.90625,0.15759421785078281,80.0
ieee5,20 12 4,20,12,4,0.8725000000000002,0.13599172768959147,0.8793750000000001,0.16040841428989933,80.0
ieee5,7 2 22,7,2,22,0.9462499999999998,0.11174049176551891,0.996875,0.15639368393576508,80.0
ieee5,6 20 18,6,20,18,0.8474999999999999,0.13036007824483692,0.8462499999999998,0.14721901201950782,80.0
ieee5,13 2 25,13,2,25,0.85875,0.13009011299864415,0.8556249999999999,0.14598667533374404,80.0
ieee5,19 16 24,19,16,24,0.85875,0.12113396509649968,0.8568750000000002,0.13913656735380528,80.0
ieee5,18 28 2,18,28,2,0.8787499999999999,0.1281539601416983,0.88125,0.144994611968859,80.0
ieee5,10 7 8,10,7,8,0.85875,0.13009011299864415,0.8556249999999999,0.14598667533374404,80.0
ieee5,5 14 12,5,14,12,0.8574999999999999,0.13395428324618813,0.858125,0.15154284666390555,80.0
ieee5,9 14 7,9,14,7,0.8837499999999998,0.12888342600970848,0.8956250000000001,0.1597251056503015,80.0
ieee5,2 21 9,2,21,9,0.85,0.1284523257866513,0.8481249999999999,0.14543979639355933,80.0
ieee5,16 4 7,16,4,7,0.85125,0.12648492993238367,0.8493749999999999,0.14372146455905602,80.0
ieee5,8 16 10,8,16,10,0.8487500000000001,0.13037805605238945,0.8474999999999999,0.1472455432262722,80.0
ieee5,23 26 5,23,26,5,0.8537500000000001,0.12643550727544856,0.851875,0.14327503053567983,80.0
ieee5,25 26 7,25,26,7,0.8587499999999999,0.12717483045005407,0.8537500000000001,0.1444331592813783,80.0
ieee5,28 0 15,28,0,15,0.8787500000000001,0.11693347467684351,0.875625,0.13392949404444113,80.0
ieee5,4 17 0,4,17,0,0.8674999999999999,0.1358077685554107,0.8725000000000002,0.15809411753762373,80.0
ieee5,10 25 15,10,25,15,0.9400000000000002,0.09027735042633894,0.9875,0.14131082761062574,80.0
ieee5,24 17 10,24,17,10,0.86875,0.13095204274848102,0.87375,0.1539023635296092,80.0
ieee5,2 9 21,2,9,21,0.85375,0.125442965127583,0.85125,0.1427355509324849,80.0
ieee5,28 3 16,28,3,16,0.8625,0.12183492931011206,0.860625,0.13844984425776719,80.0
ieee5,23 10 20,23,10,20,0.89875,0.10896530411098755,0.89375,0.1253432786391037,80.0
ieee5,9 17 12,9,17,12,0.885,0.13793114224133723,0.896875,0.16514080166633557,80.0
ieee5,10 14 1,10,14,1,0.85,0.130384048104053,0.8474999999999999,0.14703315952532608,80.0
ieee5,9 18 13,9,18,13,0.8712500000000001,0.13056966531319594,0.8699999999999999,0.1459023646141487,80.0
ieee5,18 16 9,18,16,9,0.85,0.1264911064067352,0.8487500000000001,0.14382606683073826,80.0
ieee5,10 6 15,10,6,15,0.85875,0.12419113293629301,0.8550000000000001,0.14199471821162923,80.0
ieee5,3 26 28,3,26,28,0.8662500000000002,0.12035754027064528,0.8637499999999999,0.13715297116723354,80.0
ieee5,11 15 8,11,15,8,0.85125,0.12549277867670314,0.85,0.14295978455495795,80.0
ieee5,6 23 1,6,23,1,0.8600000000000001,0.12000000000000001,0.859375,0.13786174006953483,80.0
ieee5,12 28 23,12,28,23,0.875,0.125,0.878125,0.14226817766106373,80.0
ieee5,0 2 28,0,2,28,0.85875,0.1310474627758966,0.8568749999999999,0.1474245039842427,80.0
ieee5,19 13 8,19,13,8,0.86875,0.12902882429906892,0.868125,0.1453968169355849,80.0
ieee5,26 14 27,26,14,27,0.85,0.12942179105544788,0.8481249999999999,0.14629673398610096,80.0
ieee5,11 18 19,11,18,19,0.85125,0.1294157544505305,0.85,0.1459880132065643,80.0
ieee5,3 27 29,3,27,29,0.85375,0.13317633986560826,0.8525,0.14935277031243843,80.0
ieee5,1 8 13,1,8,13,0.85875,0.12419113293629301,0.8574999999999999,0.1410008865220357,80.0
ieee5,4 12 28,4,12,28,0.8537500000000001,0.13223440361721303,0.8525,0.14893371008606476,80.0
ieee5,27 17 6,27,17,6,0.8575000000000002,0.1282331860323216,0.8556249999999999,0.14534307474042232,80.0
ieee5,29 28 8,29,28,8,0.8612500000000001,0.12893191032479123,0.86,0.14564511663629506,80.0
ieee5,14 27 2,14,27,2,0.87375,0.1394128311885244,0.8799999999999999,0.1605848685275172,80.0
ieee5,22 8 2,22,8,2,0.87625,0.13251768749868828,0.88125,0.15049397828484695,80.0
ieee5,14 11 12,14,11,12,0.8474999999999999,0.13036007824483692,0.8462499999999998,0.14721901201950782,80.0
ieee5,17 7 3,17,7,3,0.8799999999999999,0.12884098726725127,0.8793749999999999,0.14223522550690454,80.0
ieee5,19 0 28,19,0,28,0.85,0.13133925536563698,0.8487500000000001,0.14810785765785686,80.0
ieee5,15 18 10,15,18,10,0.88125,0.11947149241555495,0.8768750000000001,0.1353106957154533,80.0
ieee5,23 9 18,23,9,18,0.8712500000000001,0.13152352451177698,0.8699999999999999,0.14718186029535021,80.0
