theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,u_ctrl_prior,changed_from_prior,reduced_from_prior,increased_from_prior,safe_total,max_rocof,frequency_nadir,rocof_safe,nadir_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_mean_U_error,runtime_s,exact_tie_count,near_tie_count,action_index_tie_break_count,median_co_tied_action_count,mean_score_gap,mean_decision_runtime_s,rule_terminal_rule_hash,rule_quantile_level,rule_additive_margin,rule_alpha,rule_snap_up,rule_control_grid_hash,rule_source,rule_rule,method
14,30,"[8, 19, 20, 28]","[4.721206604484714, 3.2570943131224057, 2.8913259080187266, 5.142172562471166]",0.9,0.3,0.6000000000000001,1.0,True,True,False,True,5.582985984419171,-0.048023904931208915,True,True,1.0,1.0,0.3,1.2300573225939843e-15,0.0,0.06116031087003648,0,0,0,nan,nan,2.3751636035740376e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
15,31,"[8, 19, 20, 28]","[3.480023345583399, 2.372911433180893, 3.5093090299015204, 3.6708067010039165]",1.0,0.2,0.8,1.0,False,False,False,True,4.7717893118063515,-0.013637820277462246,True,True,1.0,1.0,0.45,4.900943958633197e-19,0.25,0.05935684498399496,0,0,0,nan,nan,2.0587467588484287e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
0,32,"[8, 19, 20, 28]","[3.149632541806528, 4.004960791547477, 1.8444673597154806, 3.246470879858392]",1.0,0.1,0.9,1.0,False,False,False,True,4.7444373912934275,-0.011502217313638992,True,True,1.9992884547568746,0.5234668991714755,0.33096381420408705,0.1247993169390666,0.23096381420408704,0.05888016801327467,0,0,0,nan,nan,2.1515879780054092e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
1,33,"[8, 19, 20, 28]","[4.464364041213909, 6.828956916137334, 2.313915732862547, 4.786506682165993]",0.8,0.1,0.7000000000000001,1.0,True,True,False,True,10.4881090220033,-0.06126389054985644,True,True,1.0,1.0,0.25,1.981905824002777e-29,0.15,0.057162082055583596,0,0,0,nan,nan,2.038723323494196e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
2,34,"[8, 19, 20, 28]","[3.505111337196752, 4.454035345718153, 1.5663956815580322, 3.866866088108815]",0.9,0.3,0.6000000000000001,1.0,True,True,False,True,4.848379284386246,-0.04908653844885331,True,True,1.0485217986637476,0.9763034359120311,0.3035276992389601,0.022760700618285525,0.0035276992389601247,0.05886326404288411,0,0,0,nan,nan,2.002750989049673e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
3,35,"[8, 19, 20, 28]","[6.5743120320855795, 4.679721346809238, 2.1083043190302133, 7.445329894596934]",0.9,0.5,0.4,1.0,True,True,False,True,8.584969301667055,-0.07595121380361972,True,True,1.0,1.0,0.35,1.0424726852441577e-28,-0.15000000000000002,0.06383061804808676,0,0,0,nan,nan,2.035987563431263e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
4,36,"[8, 19, 20, 28]","[2.898680370625091, 2.17973863822215, 1.3312107005748368, 3.134629915325686]",1.0,0.4,0.6,1.0,False,False,False,True,2.9696220675062928,-0.025230983616995065,True,True,1.7952942261322402,0.699927057431463,0.29203997214987315,0.10117093675744714,-0.10796002785012687,0.0628818990662694,0,0,0,nan,nan,2.086686436086893e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
5,37,"[8, 19, 20, 28]","[6.336478929072049, 2.41746123984366, 1.7103407839465776, 7.162529526146654]",0.6,0.25,0.35,1.0,True,True,False,True,9.50739012527667,-0.14592898207337443,True,True,1.0,1.0,0.05,1.6614743081355243e-25,-0.2,0.056411701021716,0,0,0,nan,nan,2.2362801246345043e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
6,38,"[8, 19, 20, 28]","[3.3251686523362167, 2.839567930870479, 1.7185632340280501, 3.7179132794311394]",0.8,0.6,0.20000000000000007,1.0,True,True,False,True,3.5821298688752155,-0.13139686888496546,True,True,1.7125331648494115,0.7440657522349784,0.21327165196792128,0.07235626367906345,-0.3867283480320787,0.06837997795082629,0,0,0,nan,nan,2.04768730327487e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
7,39,"[8, 19, 20, 28]","[4.756734496149445, 6.3448235638874015, 1.439302496716013, 5.2721358545858665]",1.0,0.6,0.4,1.0,False,False,False,True,9.123288688766664,-0.037471248633068444,True,True,1.0,1.0,0.45,6.226992455936737e-59,-0.14999999999999997,0.05950463400222361,0,0,0,nan,nan,2.259796019643545e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
8,40,"[8, 19, 20, 28]","[6.051671589403138, 2.587929395147159, 1.785492597133024, 6.541998523569225]",0.6,0.1,0.5,1.0,True,True,False,True,7.546941317766077,-0.12253256195015293,True,True,1.0,1.0,0.05,1.070771777650676e-20,-0.05,0.06326517392881215,0,0,0,nan,nan,2.0837760530412197e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
