system,seed,checkpoint,step,action_history,y_bin,selected_action,logits,L1_policy_difference,history_embedding_L2_difference,belief_embedding_L2_difference,logits_L2_difference
ieee5,505,10,3,13 11,1,17,"[-0.4108075499534607, 0.42526775598526, -0.353408545255661, 0.16793912649154663, -1.0305678844451904, 0.3068435788154602, -0.08673816919326782, 0.1433243453502655, -0.17614753544330597, 0.23580105602741241, -0.6699281334877014, -1000000000.0, -0.17005591094493866, -1000000000.0, -0.3015044331550598, -0.05763338506221771, 0.16776981949806213, 0.42589473724365234, -0.24501420557498932, 0.23446521162986755, 0.22010833024978638, 0.37433797121047974, 0.37311434745788574, -0.7120549082756042, -0.9683229327201843, 0.03446497023105621, -0.05273584648966789, -0.4017868936061859, 0.272299587726593, 0.07815108448266983]",0.0,0.0,0.0,0.0
ieee5,505,10,3,13 11,2,1,"[-0.4066231846809387, 0.37967848777770996, -0.3349180519580841, 0.13369129598140717, -1.054692268371582, 0.3171699047088623, -0.09084252268075943, 0.22656865417957306, -0.15782922506332397, 0.24871636927127838, -0.7458672523498535, -1000000000.0, -0.14334209263324738, -1000000000.0, -0.24958832561969757, -0.02645905315876007, 0.14281415939331055, 0.36191028356552124, -0.18150293827056885, 0.26788783073425293, 0.2907021939754486, 0.3579903244972229, 0.2798839211463928, -0.6779564023017883, -1.0142844915390015, -0.012818951159715652, -0.047655340284109116, -0.36511746048927307, 0.2846613824367523, 0.07280250638723373]",0.03622284531593323,3.3343565464019775,2.3342878818511963,0.2297143191099167
ieee5,505,20,2,13,0,11,"[-0.8133702278137207, -0.19440267980098724, -0.2137148678302765, -0.027589993551373482, -0.6402029991149902, 0.8830174803733826, -0.1688697636127472, 0.15189337730407715, -0.04913392290472984, -0.04956582933664322, -0.3923720419406891, 1.6768795251846313, -0.4374527633190155, -1000000000.0, -0.7086527347564697, -0.3948388993740082, 0.27369624376296997, 0.42994385957717896, -0.26829397678375244, 0.23136796057224274, 0.14821143448352814, 0.5732833743095398, -0.5745819211006165, -0.7078965902328491, -0.9417951703071594, 0.2605907917022705, 0.03470715507864952, -0.2988751232624054, 0.7440400719642639, 0.7137842774391174]",0.03613936901092529,2.1040537357330322,1.2744932174682617,0.2664182186126709
ieee5,505,20,2,13,1,11,"[-0.858809232711792, -0.31385156512260437, -0.15530803799629211, -0.039671704173088074, -0.6762478947639465, 0.8773784041404724, -0.27098265290260315, 0.23793557286262512, -0.06964993476867676, -0.030695322901010513, -0.47633829712867737, 1.7064690589904785, -0.4274735152721405, -1000000000.0, -0.6840627193450928, -0.3485252261161804, 0.27577608823776245, 0.35628581047058105, -0.2719097137451172, 0.2924981713294983, 0.16884845495224, 0.5922927856445312, -0.5811099410057068, -0.7181081175804138, -0.9551919102668762, 0.21350626647472382, -0.02384263649582863, -0.32450631260871887, 0.7580294013023376, 0.7736513614654541]",0.0,0.0,0.0,0.0
ieee5,505,20,2,13,2,11,"[-0.8414472341537476, -0.6425793170928955, 0.050159670412540436, -0.10594888031482697, -0.6231383681297302, 0.7033571600914001, -0.5010709762573242, 0.4837527871131897, -0.12485577166080475, 0.03177838772535324, -0.5926558971405029, 1.4607237577438354, -0.2591855823993683, -1000000000.0, -0.4573112428188324, -0.131742462515831, 0.1835232675075531, -0.012142971158027649, -0.2185925841331482, 0.38679075241088867, 0.21124571561813354, 0.49830684065818787, -0.4918792247772217, -0.6201656460762024, -0.8282669186592102, 0.11733569949865341, -0.22858011722564697, -0.34047985076904297, 0.6133916974067688, 0.7921983599662781]",0.13869209587574005,5.726217269897461,3.39668869972229,0.8843144774436951
ieee5,505,20,3,13 11,0,5,"[-0.6466623544692993, 0.07287462055683136, -0.4148848056793213, -0.07418079674243927, -0.5879887938499451, 0.8745760917663574, 0.05649706721305847, -0.027172386646270752, 0.022356126457452774, 0.06082785874605179, -0.25498420000076294, -1000000000.0, -0.3484220802783966, -1000000000.0, -0.598084568977356, -0.4188333749771118, 0.21583279967308044, 0.5709314346313477, -0.22340399026870728, 0.04153352975845337, 0.3369552791118622, 0.3924245536327362, -0.5936653017997742, -0.5433864593505859, -0.9041721820831299, 0.2919277548789978, 0.1369500458240509, -0.24079598486423492, 0.6757288575172424, 0.6238723993301392]",0.02685353346168995,1.170336365699768,1.7916542291641235,0.16954220831394196
ieee5,505,20,3,13 11,1,5,"[-0.6647523641586304, 0.025293946266174316, -0.4058648347854614, -0.08028765022754669, -0.6457847356796265, 0.8876619338989258, 0.015122655779123306, 0.03346114605665207, 0.017273474484682083, 0.04575725644826889, -0.3278907835483551, -1000000000.0, -0.36456578969955444, -1000000000.0, -0.6070699095726013, -0.4085058569908142, 0.2316969931125641, 0.5476489067077637, -0.21285566687583923, 0.0779096931219101, 0.3491578996181488, 0.42994412779808044, -0.6165152192115784, -0.5660898089408875, -0.9381396770477295, 0.2568785548210144, 0.11613602936267853, -0.2694603502750397, 0.7039470076560974, 0.6670317053794861]",0.0,0.0,0.0,0.0
ieee5,505,20,3,13 11,2,5,"[-0.7193764448165894, -0.14054976403713226, -0.30434584617614746, -0.12780727446079254, -0.7669923901557922, 0.9056259989738464, -0.1261054426431656, 0.20128262042999268, -0.01740732416510582, 0.083709217607975, -0.48763740062713623, -1000000000.0, -0.35389068722724915, -1000000000.0, -0.5683848857879639, -0.31882864236831665, 0.2478484809398651, 0.41437679529190063, -0.1810673177242279, 0.1887665092945099, 0.3961968719959259, 0.4881986081600189, -0.6451379656791687, -0.6014989614486694, -1.008237600326538, 0.2139011174440384, 0.021159809082746506, -0.3054403066635132, 0.71456378698349, 0.7403290867805481]",0.06760548800230026,4.082502365112305,2.3715317249298096,0.4533790647983551
ieee5,505,30,2,28,0,29,"[-0.5726334452629089, 0.042187370359897614, -0.7143071889877319, -0.18419720232486725, -0.6851917505264282, 1.3882160186767578, -0.02090897038578987, 0.07043987512588501, 0.5737905502319336, 0.21376073360443115, -0.5590826272964478, 1.466320514678955, -0.5468801856040955, 0.4320410490036011, -0.6555748581886292, -0.7898539304733276, -0.18053379654884338, 0.9400026202201843, -0.17373545467853546, -1.015491008758545, -0.039322830736637115, 0.634919285774231, -0.7927924394607544, -0.9976749420166016, 0.033935900777578354, 0.346052885055542, 0.1348261833190918, -0.5146021246910095, -1000000000.0, 1.5739094018936157]",0.028783943504095078,1.8250552415847778,1.2795084714889526,0.23071220517158508
ieee5,505,30,2,28,1,29,"[-0.6254289150238037, -0.05091977119445801, -0.6455984711647034, -0.22087517380714417, -0.7181225419044495, 1.3989455699920654, -0.10872828960418701, 0.09661926329135895, 0.5329828262329102, 0.26318246126174927, -0.610811710357666, 1.4737930297851562, -0.5504608154296875, 0.465156614780426, -0.6291424036026001, -0.7441003918647766, -0.19050639867782593, 0.9139032959938049, -0.19915395975112915, -0.9243714809417725, -0.043222472071647644, 0.6437742114067078, -0.7720545530319214, -1.0033890008926392, -0.012575376778841019, 0.3242737650871277, 0.0966959074139595, -0.5250083804130554, -1000000000.0, 1.6036046743392944]",0.0,0.0,0.0,0.0
