update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
48,0.27,0.27,DAD,0.43060946464538574,3072,3.3249826431274414,,,,,,,,,
49,0.27046875000000004,0.27046875000000004,DAD,0.43024468421936035,3136,3.325230121612549,,,,,,,,,
50,0.27,0.27,DAD,0.4303271770477295,3200,3.3246958255767822,0.27,24,2.848349478043453,0.1875,0.0,1,0.0,0.27,0
51,0.27,0.27,DAD,0.4301908016204834,3264,3.324024200439453,,,,,,,,,
52,0.27,0.27,DAD,0.4295327663421631,3328,3.3247694969177246,,,,,,,,,
53,0.27,0.27,DAD,0.4295172691345215,3392,3.3241868019104004,,,,,,,,,
54,0.27,0.27,DAD,0.42966151237487793,3456,3.3248538970947266,,,,,,,,,
55,0.27,0.27,DAD,0.42902517318725586,3520,3.3247525691986084,,,,,,,,,
56,0.27,0.27,DAD,0.43002867698669434,3584,3.325045585632324,,,,,,,,,
57,0.27,0.27,DAD,0.42986583709716797,3648,3.325045585632324,,,,,,,,,
58,0.27,0.27,DAD,0.43000149726867676,3712,3.3243682384490967,,,,,,,,,
59,0.27046875000000004,0.27046875000000004,DAD,0.429950475692749,3776,3.3241024017333984,,,,,,,,,
60,0.27,0.27,DAD,0.4299314022064209,3840,3.3240087032318115,,,,,,,,,
61,0.27,0.27,DAD,0.43138837814331055,3904,3.3249120712280273,,,,,,,,,
62,0.27,0.27,DAD,0.4304015636444092,3968,3.325087785720825,,,,,,,,,
63,0.27,0.27,DAD,0.43006443977355957,4032,3.3248674869537354,,,,,,,,,
64,0.27,0.27,DAD,0.4297463893890381,4096,3.3251044750213623,,,,,,,,,
65,0.27,0.27,DAD,0.4303741455078125,4160,3.325221538543701,,,,,,,,,
66,0.27,0.27,DAD,0.43068671226501465,4224,3.3249387741088867,,,,,,,,,
67,0.27,0.27,DAD,0.43056368827819824,4288,3.3246171474456787,,,,,,,,,
68,0.27,0.27,DAD,0.4304945468902588,4352,3.3245654106140137,,,,,,,,,
69,0.27,0.27,DAD,0.43029165267944336,4416,3.3244166374206543,,,,,,,,,
70,0.27,0.27,DAD,0.4318108558654785,4480,3.3246898651123047,,,,,,,,,
71,0.27,0.27,DAD,0.4304769039154053,4544,3.3245973587036133,,,,,,,,,
72,0.27,0.27,DAD,0.42986369132995605,4608,3.3246712684631348,,,,,,,,,
73,0.27,0.27,DAD,0.42998790740966797,4672,3.32450532913208,,,,,,,,,
74,0.27,0.27,DAD,0.43018364906311035,4736,3.324542999267578,,,,,,,,,
75,0.27,0.27,DAD,0.43042945861816406,4800,3.324305534362793,0.27,41,3.3024056049786386,0.3203125,0.0,1,0.0,0.27,1
76,0.27,0.27,DAD,0.4305553436279297,4864,3.3242316246032715,,,,,,,,,
77,0.27,0.27,DAD,0.430417537689209,4928,3.323836088180542,,,,,,,,,
78,0.27,0.27,DAD,0.429445743560791,4992,3.3239850997924805,,,,,,,,,
79,0.27,0.27,DAD,0.42999958992004395,5056,3.3232011795043945,,,,,,,,,
80,0.27,0.27,DAD,0.429379940032959,5120,3.323251962661743,,,,,,,,,
81,0.27,0.27,DAD,0.4304332733154297,5184,3.323011875152588,,,,,,,,,
82,0.27,0.27,DAD,0.4316220283508301,5248,3.322486400604248,,,,,,,,,
83,0.27,0.27,DAD,0.43104076385498047,5312,3.3217973709106445,,,,,,,,,
84,0.27,0.27,DAD,0.43059611320495605,5376,3.3220579624176025,,,,,,,,,
85,0.27,0.27,DAD,0.43047213554382324,5440,3.3203670978546143,,,,,,,,,
86,0.27,0.27,DAD,0.43073463439941406,5504,3.3209376335144043,,,,,,,,,
87,0.27,0.27,DAD,0.4310462474822998,5568,3.3205204010009766,,,,,,,,,
88,0.27,0.27,DAD,0.43051743507385254,5632,3.320807456970215,,,,,,,,,
89,0.27,0.27,DAD,0.4300196170806885,5696,3.3202385902404785,,,,,,,,,
90,0.27,0.27,DAD,0.43074464797973633,5760,3.3205323219299316,,,,,,,,,
91,0.27,0.27,DAD,0.42990970611572266,5824,3.3202028274536133,,,,,,,,,
92,0.27046875000000004,0.27046875000000004,DAD,0.4305849075317383,5888,3.3197832107543945,,,,,,,,,
93,0.27,0.27,DAD,0.4307985305786133,5952,3.320622205734253,,,,,,,,,
94,0.27,0.27,DAD,0.4311084747314453,6016,3.3201918601989746,,,,,,,,,
95,0.27,0.27,DAD,0.4302670955657959,6080,3.320390224456787,,,,,,,,,
96,0.27,0.27,DAD,0.46836256980895996,6144,3.320375442504883,,,,,,,,,
97,0.27,0.27,DAD,0.43089985847473145,6208,3.3208694458007812,,,,,,,,,
98,0.27,0.27,DAD,0.4303741455078125,6272,3.3200607299804688,,,,,,,,,
99,0.27,0.27,DAD,0.4300849437713623,6336,3.319835662841797,,,,,,,,,
100,0.27,0.27,DAD,0.4301929473876953,6400,3.320056438446045,0.27,28,3.0112758045462282,0.21875,0.0,1,0.0,0.27,0
101,0.27,0.27,DAD,0.4311668872833252,6464,3.320474624633789,,,,,,,,,
102,0.27,0.27,DAD,0.43003129959106445,6528,3.320570468902588,,,,,,,,,
103,0.27,0.27,DAD,0.4305720329284668,6592,3.3202853202819824,,,,,,,,,
104,0.27,0.27,DAD,0.4319016933441162,6656,3.319979429244995,,,,,,,,,
