action_id,amplitude_pu,physical_bus,duration_s,train_parameter_signal_sd_hz,test_parameter_signal_sd_hz,heldout_linear_surrogate_r2,train_max_abs_delta_f_hz,test_max_abs_delta_f_hz,train_max_rocof_hz_s,test_max_rocof_hz_s,provisional_test_df_safe_rate,provisional_test_rocof_safe_rate,residual_sd_hz,effective_snr_sigma_0.0025,effective_snr_sigma_0.005,effective_snr_sigma_0.01,effective_snr_sigma_0.015
23,0.05,6,1.5,0.002561015105786456,0.0023480558394439904,0.9733396046368014,0.039358407706544,0.03536969774545831,0.055765057081789325,0.05195248574606872,1.0,1.0,0.000443169508723274,1.0494077395306256,0.2623519348826564,0.0655879837206641,0.02915021498696183
24,0.05,7,1.5,0.002561408763053452,0.0023460282394513416,0.9727681107270638,0.03942422617055666,0.035433648152114,0.055930147960873984,0.0523845037665223,1.0,1.0,0.0004463526016458683,1.0497303762315222,0.26243259405788055,0.06560814851447014,0.029159177117542286
25,0.05,8,1.5,0.0025618353528131617,0.002344741575675071,0.9722935952785081,0.039472564185635876,0.03548004043272602,0.05607109080742868,0.052705009548435156,1.0,1.0,0.0004489977494630062,1.0500800599877338,0.26252001499693345,0.06563000374923336,0.029168890555214832
26,0.05,9,1.5,0.002555600424355922,0.002345553705964417,0.9744303830992569,0.03905459683530029,0.03491423129780449,0.0552655880916014,0.050569596300165005,1.0,1.0,0.0004346903060098788,1.0449749646349067,0.26124374115872667,0.06531093528968167,0.02902708235096963
27,0.05,1,2.0,0.00314860181029072,0.0028744722838314105,0.9739580996557293,0.04949487969981095,0.04386610582056335,0.05226428496790697,0.047306443045250765,1.0,1.0,0.0005346176365176369,1.5861909375625598,0.39654773439063995,0.09913693359765999,0.04406085937673778
28,0.05,2,2.0,0.0031415502817462512,0.0028596860651312708,0.973065667509089,0.05048031275372292,0.04490715946066162,0.057642444457401534,0.051767917787643884,1.0,1.0,0.0005431343409759126,1.5790941076383922,0.39477352690959805,0.09869338172739951,0.043863725212177566
29,0.05,3,2.0,0.003143544398187488,0.002863581871771445,0.973565721543386,0.05024793348604547,0.044708837468638025,0.056039315570722635,0.05105681831151462,1.0,1.0,0.0005394649050238386,1.5810994213401497,0.3952748553350374,0.09881871383375936,0.04391942837055972
30,0.05,4,2.0,0.003146576566060765,0.002870590754072216,0.9739526970457335,0.04971702730099616,0.0441187034617274,0.05334721433650443,0.04813491282928414,1.0,1.0,0.0005351211064450438,1.5841510537732406,0.39603776344331015,0.09900944086082754,0.04400419593814558
31,0.05,5,2.0,0.0031454432786651764,0.0028682131067573045,0.9738866201066761,0.04987645004798555,0.04429715050567161,0.05418315816474629,0.04890030509075322,1.0,1.0,0.0005360091618410251,1.5830101470879894,0.39575253677199734,0.09893813419299934,0.043972504085777485
32,0.05,6,2.0,0.00314367999940885,0.0028641772314113153,0.9736275141701066,0.050179013372647935,0.0446268862172916,0.05573627781984052,0.05055840714588972,1.0,1.0,0.0005387152497419358,1.5812358301893163,0.3953089575473291,0.09882723938683227,0.04392321750525879
33,0.05,7,2.0,0.0031430344855656648,0.0028629873304622266,0.9735131641921004,0.050242956095211934,0.04468145997682365,0.05618236592892286,0.05071935133579551,1.0,1.0,0.0005395436890460245,1.5805865243928037,0.3951466310982009,0.09878665777455023,0.04390518123313344
34,0.05,8,2.0,0.003142600367271159,0.0028621669327119122,0.9734213597120566,0.05028899349841289,0.04472044031641837,0.05650968619506829,0.05085260100191427,1.0,1.0,0.0005402089437763207,1.5801499309396514,0.39503748273491285,0.09875937068372821,0.04389305363721255
35,0.05,9,2.0,0.003145004693414584,0.002867462564230441,0.9738521444099032,0.04991004094567263,0.04432662274641685,0.054406480157207,0.04897489536956471,1.0,1.0,0.0005362445649403277,1.5825687234559616,0.3956421808639904,0.0989105452159976,0.043960242318221154
36,0.05,1,2.5,0.0037442760053326206,0.003406601817914453,0.9743052043122629,0.05956321429680771,0.05277797479918696,0.05197644646157127,0.046070634382146994,1.0,1.0,0.0006270721888081195,2.2431364486575367,0.5607841121643842,0.14019602804109604,0.06230934579604269
37,0.05,2,2.5,0.0037477679816680246,0.0034005142312072624,0.9741082861949695,0.06031284014253723,0.0533839467355412,0.05354656424531555,0.04889167262322006,1.0,1.0,0.0006311733084069964,2.2473223751065627,0.5618305937766407,0.14045764844416017,0.062425621530737864
38,0.05,3,2.5,0.003747952362503452,0.0034042934386413846,0.9742382976240389,0.060158578840539594,0.05328458912488283,0.053187994846225495,0.047969858226484856,1.0,1.0,0.0006301293075028658,2.247543505855233,0.5618858764638083,0.14047146911595207,0.06243176405153426
39,0.05,4,2.5,0.0037450333837823918,0.003405282971839841,0.9743037241657574,0.05974357630844497,0.05292705141922773,0.05222104535578095,0.04650217097669101,1.0,1.0,0.0006277051265658548,2.2440440073031342,0.5610110018257836,0.1402527504564459,0.0623345557584204
40,0.05,5,2.5,0.0037457730673179615,0.003404731682938532,0.9742928480064038,0.059869800882624946,0.05303403232243271,0.052444800641858386,0.046871913388918385,1.0,1.0,0.0006283114078335983,2.2449305394951375,0.5612326348737844,0.1403081587184461,0.06235918165264272
41,0.05,6,2.5,0.003747302492623396,0.003403867744816812,0.974244303108106,0.060103039596534395,0.05323193708203469,0.05300190814389667,0.047766334903902204,1.0,1.0,0.0006297074934516508,2.246764155395443,0.5616910388488607,0.14042275971221518,0.062410115427651194
42,0.05,7,2.5,0.0037471826400252424,0.003402711091902647,0.974212108847,0.060145808978687876,0.05325882358560147,0.053076648274283815,0.04800500034319753,1.0,1.0,0.0006299436243341148,2.2466204380330472,0.5616551095082618,0.14041377737706545,0.062406123278695755
43,0.05,8,2.5,0.0037471173198339843,0.0034019045482276433,0.9741872936519202,0.06017635792966493,0.05327803355536701,0.05313004314331482,0.048196002311929616,1.0,1.0,0.0006301300005536704,2.246542113375971,0.5616355283439928,0.1404088820859982,0.06240394759377698
44,0.05,9,2.5,0.0037456527021611013,0.003404020693678085,0.9742801591457326,0.05989311618090864,0.053048284228218494,0.05246036445678738,0.046941975963238014,1.0,1.0,0.0006283833406131973,2.2447862664330818,0.5611965666082704,0.1402991416520676,0.0623551740675856
45,0.05,1,3.0,0.004213428950474023,0.003818493370853931,0.9743337999948442,0.0689079180884436,0.060871033346861336,0.05060611010515458,0.045209021060556305,1.0,1.0,0.0006992980168081287,2.840477363310821,0.7101193408277052,0.1775298352069263,0.07890214898085614
46,0.05,2,3.0,0.004217290611754018,0.0038164967839347834,0.9743013802796511,0.06942472187719956,0.061498410869216834,0.05227683157051738,0.045789051982636345,1.0,1.0,0.0007012881115697105,2.8456864166381735,0.7114216041595434,0.17785540103988584,0.07904684490661594
47,0.05,3,3.0,0.004217015828387177,0.0038181099678450143,0.9743457938913214,0.0693229349191363,0.06137734736368987,0.05188170880842124,0.045598406379267695,1.0,1.0,0.0007009116728362308,2.8453155994988775,0.7113288998747194,0.17783222496867984,0.07903654443052438
48,0.05,4,3.0,0.004214319543838319,0.003818076108295583,0.9743403241320536,0.06903286286022632,0.06101923810097392,0.05089253044824918,0.04527911284555873,1.0,1.0,0.0006996753683171812,2.8416782748124194,0.7104195687031049,0.1776048921757762,0.07893550763367832
49,0.05,5,3.0,0.00421505747754284,0.0038179633565366493,0.9743435895920912,0.0691207867175295,0.06112593255200501,0.051159697285339235,0.045346663924127305,1.0,1.0,0.0007000023166696514,2.842673526238369,0.7106683815595922,0.17766709538989806,0.07896315350662136
50,0.05,6,3.0,0.0042165072365045585,0.003817833940552904,0.9743418000137458,0.06928325325609991,0.061326412591203555,0.05172937466980207,0.04550624118458799,1.0,1.0,0.0007006959269309674,2.8446293240792495,0.7111573310198124,0.1777893327549531,0.0790174812244236
51,0.05,7,3.0,0.004216544586729849,0.0038173322299463216,0.9743301428985094,0.0693113271639163,0.061359225757292205,0.05181922254279025,0.045546695642071824,1.0,1.0,0.0007007802721280802,2.844679720300926,0.7111699300752315,0.1777924825188079,0.07901888111947018
52,0.05,8,3.0,0.004216584526924419,0.003816986692785076,0.9743213618830766,0.06933141232317781,0.06138278302513827,0.051890900103075226,0.04558780120440667,1.0,1.0,0.0007008466353097481,2.844733611631748,0.711183402907937,0.17779585072698426,0.0790203781008819
53,0.05,9,3.0,0.004215049118414261,0.0038176520688823416,0.9743383146087137,0.06913600995685827,0.06114303469782286,0.05119470098076303,0.045354751922989066,1.0,1.0,0.0007000284520945098,2.8426622513031745,0.7106655628257936,0.1776663907064484,0.07896284031397707
