rollout_id,theta_test_id,sequence,y_obs,u_ctrl_prior,u_ctrl_final,u_req_true,posterior_mean_U,excess_control,safe_total,changed,reduced,increased
339,1,1 0,1.9610078 2.110122,1.0,0.8,0.1,0.13869391801826964,0.7000000000000001,True,True,True,False
340,13,6 2,3.0038528 1.2403271,1.0,1.0,0.45,0.4484868626978624,0.55,True,False,False,False
341,13,9 10,2.0760278 2.0437756,1.0,0.6,0.45,0.05103750104315212,0.14999999999999997,True,True,True,False
342,15,14 20,2.4093629 3.3890915,1.0,0.7,0.2,0.15000410947797677,0.49999999999999994,True,True,True,False
343,1,20 29,2.3551093 7.5695245,1.0,0.8,0.1,0.2500000000000005,0.7000000000000001,True,True,True,False
344,14,21 0,1.92395 2.311056,1.0,0.9,0.3,0.2499589944099796,0.6000000000000001,True,True,True,False
345,3,29 25,5.055099 2.188491,1.0,1.0,0.5,0.4443968191548788,0.5,True,False,False,False
346,9,26 1,2.0046683 2.2446043,1.0,0.9,0.35,0.3348493999221363,0.55,True,True,True,False
347,4,28 19,3.2900666 2.0478025,1.0,0.6,0.4,0.05000230399201916,0.19999999999999996,True,True,True,False
348,6,14 26,2.7798448 2.6639328,1.0,1.0,0.6,0.5999999454624688,0.4,True,False,False,False
349,13,2 4,1.1689713 2.0754425,1.0,1.0,0.45,0.3695966504778755,0.55,True,False,False,False
350,4,8 5,2.8847322 1.2121388,1.0,0.9,0.4,0.2817756750274984,0.5,True,True,True,False
351,11,7 6,1.1339838 1.5239438,1.0,0.7,0.1,0.15028592931242507,0.6,True,True,True,False
352,9,19 23,2.6151061 7.6894875,1.0,0.8,0.35,0.24999992034617716,0.45000000000000007,True,True,True,False
353,13,9 18,2.172318 3.5366529,1.0,0.6,0.45,0.052334161503374776,0.14999999999999997,True,True,True,False
354,6,13 18,3.4578257 3.4113992,1.0,1.0,0.6,0.34075760463805754,0.4,True,False,False,False
355,3,4 3,4.284534 6.5506005,1.0,0.9,0.5,0.35,0.4,True,True,True,False
356,14,16 23,2.0695123 5.0388183,1.0,0.9,0.3,0.29999999999965166,0.6000000000000001,True,True,True,False
357,3,24 27,4.7282224 2.1196889,1.0,0.9,0.5,0.3499965976077906,0.4,True,True,True,False
358,9,18 9,7.6027549 2.6402737,1.0,0.8,0.35,0.24999999998256467,0.45000000000000007,True,True,True,False
359,3,3 16,6.680164 3.0569155,1.0,0.9,0.5,0.35,0.4,True,True,True,False
360,8,11 4,1.5244126 2.4643582,1.0,0.7,0.1,0.08241798575089129,0.6,True,True,True,False
361,4,7 25,1.4488359 1.4263459,1.0,0.9,0.4,0.2602983376055094,0.5,True,True,True,False
362,15,21 10,1.6533334 3.017573,1.0,0.7,0.2,0.15003473738425946,0.49999999999999994,True,True,True,False
363,12,11 7,3.5260192 1.1183105,1.0,1.0,0.6,0.599999999947477,0.4,True,False,False,False
364,5,6 1,2.0592169 1.9991933,1.0,0.9,0.25,0.271030828903065,0.65,True,True,True,False
365,15,29 15,2.2705831 3.3423626,1.0,0.7,0.2,0.1515140006722453,0.49999999999999994,True,True,True,False
366,5,6 3,1.8478579 6.2925642,1.0,0.6,0.25,0.050086956556013085,0.35,True,True,True,False
367,2,21 16,1.8775342 2.0896557,1.0,0.9,0.3,0.28400456512087996,0.6000000000000001,True,True,True,False
368,14,26 8,1.8892063 4.7113537,1.0,0.9,0.3,0.300009595086547,0.6000000000000001,True,True,True,False
369,4,1 0,2.6959274 1.1012056,1.0,0.9,0.4,0.35000136037582985,0.5,True,True,True,False
370,4,24 16,2.3288347 2.3967505,1.0,1.0,0.4,0.3999980276606152,0.6,True,False,False,False
371,6,27 3,1.8504601 3.2755062,1.0,0.8,0.6,0.25056085396997335,0.20000000000000007,True,True,True,False
372,13,22 23,1.4395576 3.421309,1.0,1.0,0.45,0.4497218237338552,0.55,True,False,False,False
373,6,5 16,1.3092957 3.3261041,1.0,1.0,0.6,0.5999999719966034,0.4,True,False,False,False
374,7,2 28,1.3892783 5.2769116,1.0,1.0,0.6,0.5681262416147931,0.4,True,False,False,False
375,0,25 4,1.9514827 3.9119194,1.0,0.9,0.1,0.33954832108405364,0.8,True,True,True,False
376,2,8 18,3.4780183 3.66796,1.0,1.0,0.3,0.3174850537397802,0.7,True,False,False,False
377,11,13 14,3.1245895 3.4165651,1.0,0.8,0.1,0.1994440467278651,0.7000000000000001,True,True,True,False
378,7,16 10,3.4196498 1.3158071,1.0,1.0,0.6,0.599999999996015,0.4,True,False,False,False
379,3,3 2,6.6878907 1.7026798,1.0,0.6,0.5,0.052510752979085744,0.09999999999999998,True,True,True,False
380,6,0 26,1.5749995 2.7327596,1.0,1.0,0.6,0.5999913497588056,0.4,True,False,False,False
381,13,15 16,2.1874417 2.5495975,1.0,1.0,0.45,0.4183804856021312,0.55,True,False,False,False
382,0,24 12,4.1968767 2.5111463,1.0,1.0,0.1,0.36395406615077575,0.9,True,False,False,False
383,13,16 6,2.7258661 3.099294,1.0,1.0,0.45,0.4499449713758728,0.55,True,False,False,False
384,6,8 29,3.4642712 3.2305944,1.0,0.7,0.6,0.1511138585256938,0.09999999999999998,True,True,True,False
385,0,1 0,1.50397 1.5474145,1.0,0.7,0.1,0.058142777331543,0.6,True,True,True,False
386,8,7 14,1.507979 2.5482961,1.0,0.9,0.1,0.30079418286099885,0.8,True,True,True,False
387,12,22 28,1.4953825 3.9394259,1.0,1.0,0.6,0.26457416626209146,0.4,True,False,False,False
388,8,18 14,6.0813572 2.3472817,1.0,0.6,0.1,0.05,0.5,True,True,True,False
389,9,28 2,7.8919339 1.2716641,1.0,0.8,0.35,0.25,0.45000000000000007,True,True,True,False
390,1,3 17,4.3775661 1.9726339,1.0,1.0,0.1,0.59999263067921,0.9,True,False,False,False
391,11,26 9,1.3343866 3.5886215,1.0,0.8,0.1,0.2023881191138918,0.7000000000000001,True,True,True,False
392,10,16 12,1.3950622 2.2429072,1.0,0.7,0.15,0.06066635978623651,0.5499999999999999,True,True,True,False
393,7,4 15,5.9167986 1.3807326,1.0,1.0,0.6,0.45,0.4,True,False,False,False
394,2,9 29,4.1680706 4.8162169,1.0,1.0,0.3,0.3125878749595255,0.7,True,False,False,False
395,3,28 29,7.2984028 5.1322695,1.0,0.9,0.5,0.35,0.4,True,True,True,False
396,14,6 11,2.0401294 2.1725269,1.0,0.9,0.3,0.2823997793560293,0.6000000000000001,True,True,True,False
397,1,16 23,1.6605503 4.7598076,1.0,0.9,0.1,0.15076967763608934,0.8,True,True,True,False
398,8,4 10,2.3040977 1.5362156,1.0,1.0,0.1,0.3441157516876295,0.9,True,False,False,False
399,10,15 29,1.4888299 5.2039855,1.0,1.0,0.15,0.4179537463810991,0.85,True,False,False,False
400,1,19 24,6.8936659 7.0664666,1.0,0.9,0.1,0.3499999999999996,0.8,True,True,True,False
401,1,24 21,7.244487 1.6842667,1.0,0.9,0.1,0.3499998927980645,0.8,True,True,True,False
402,15,8 18,3.5313564 3.2609459,1.0,1.0,0.2,0.2080209251902247,0.8,True,False,False,False
403,13,16 3,2.6406913 3.4178231,1.0,1.0,0.45,0.40515298629867313,0.55,True,False,False,False
404,12,0 11,1.9497721 3.4736961,1.0,1.0,0.6,0.5999999999368621,0.4,True,False,False,False
405,11,26 13,1.4009025 3.2321104,1.0,0.8,0.1,0.18273253207827952,0.7000000000000001,True,True,True,False
406,13,26 10,2.279613 1.7884039,1.0,1.0,0.45,0.4481562231119734,0.55,True,False,False,False
407,9,10 2,1.8360737 1.2627975,1.0,1.0,0.35,0.2926034603403572,0.65,True,False,False,False
408,10,23 24,3.6395525 5.0181619,1.0,1.0,0.15,0.44999948044610516,0.85,True,False,False,False
409,7,27 15,1.8220681 1.391328,1.0,0.8,0.6,0.24912139197341987,0.20000000000000007,True,True,True,False
410,2,28 6,3.9610912 2.1062338,1.0,0.9,0.3,0.2575495128915383,0.6000000000000001,True,True,True,False
411,12,21 10,3.1265446 1.9205854,1.0,1.0,0.6,0.5999999982419866,0.4,True,False,False,False
412,4,16 22,2.4451716 1.5561079,1.0,0.9,0.4,0.3500793885135651,0.5,True,True,True,False
413,13,1 12,3.105602 1.3427056,1.0,1.0,0.45,0.44959114973016423,0.55,True,False,False,False
414,15,9 29,2.2540966 2.4499225,1.0,1.0,0.2,0.3048638365907737,0.8,True,False,False,False
415,15,10 14,2.8831322 2.2276214,1.0,0.8,0.2,0.2165912530821157,0.6000000000000001,True,True,True,False
416,5,21 17,1.7178888 2.3425597,1.0,0.7,0.25,0.1494324990110473,0.44999999999999996,True,True,True,False
417,14,17 20,1.3236331 2.9462848,1.0,0.9,0.3,0.3000002535928076,0.6000000000000001,True,True,True,False
418,15,6 15,1.7739622 3.1820972,1.0,0.7,0.2,0.15000109196694267,0.49999999999999994,True,True,True,False
419,3,22 8,2.0961376 6.6739378,1.0,0.6,0.5,0.0500063500393282,0.09999999999999998,True,True,True,False
420,9,16 6,2.0141015 2.105867,1.0,0.9,0.35,0.28186969501212866,0.55,True,True,True,False
421,3,19 1,4.5539478 3.4842055,1.0,1.0,0.5,0.45,0.5,True,False,False,False
422,2,27 7,2.3343269 1.9511163,1.0,0.6,0.3,0.051440244866223415,0.3,True,True,True,False
423,8,9 0,2.4495933 1.4239306,1.0,0.9,0.1,0.08932861476713744,0.8,True,True,True,False
424,9,27 18,1.6252512 7.3789115,1.0,0.8,0.35,0.25,0.45000000000000007,True,True,True,False
425,7,11 7,3.6495516 1.2736293,1.0,1.0,0.6,0.5999999999999999,0.4,True,False,False,False
426,7,2 16,1.3279856 3.3607165,1.0,1.0,0.6,0.5999999999999638,0.4,True,False,False,False
427,0,18 5,3.1635334 1.6179801,1.0,1.0,0.1,0.4133207895616626,0.9,True,False,False,False
428,6,12 8,1.3879438 3.4045956,1.0,0.8,0.6,0.2501296717929161,0.20000000000000007,True,True,True,False
429,1,4 28,6.4566148 4.7482256,1.0,0.8,0.1,0.25,0.7000000000000001,True,True,True,False
430,1,27 20,2.3113913 2.2020564,1.0,1.0,0.1,0.5844996425587794,0.9,True,False,False,False
431,9,14 7,2.5141946 1.2843376,1.0,1.0,0.35,0.3014273449613024,0.65,True,False,False,False
432,1,0 1,2.064109 1.7000385,1.0,0.7,0.1,0.055040911805469585,0.6,True,True,True,False
433,14,13 25,4.8663864 3.315252,1.0,0.9,0.3,0.3,0.6000000000000001,True,True,True,False
434,5,7 1,2.2276467 2.0065671,1.0,0.9,0.25,0.2974582200084643,0.65,True,True,True,False
435,6,5 1,1.3795539 3.6643889,1.0,1.0,0.6,0.5999999999642885,0.4,True,False,False,False
436,14,29 24,3.6261168 3.4049849,1.0,0.9,0.3,0.22995828861519632,0.6000000000000001,True,True,True,False
437,1,22 18,2.0174774 4.5821218,1.0,1.0,0.1,0.5999939888688146,0.9,True,False,False,False
438,11,15 27,2.9951168 1.2285923,1.0,0.9,0.1,0.33058470343199986,0.8,True,True,True,False
439,0,7 8,2.3735656 3.0234469,1.0,0.6,0.1,0.05000662764154949,0.5,True,True,True,False
440,9,22 5,1.6178083 1.6887799,1.0,1.0,0.35,0.40489179791453433,0.65,True,False,False,False
