rollout_id,theta_id,step,ess_fraction,max_weight,u_ctrl,chosen_action,dominant_expert,router_entropy,expert_disagreement,logit_scale,action_matches_dominant_expert,action_matches_uniform_experts,action_matches_routed_unscaled,flip_vs_dominant,flip_vs_uniform,router_dense_0,router_top2_0,expert_top_action_0,router_dense_1,router_top2_1,expert_top_action_1,router_dense_2,router_top2_2,expert_top_action_2,router_dense_3,router_top2_3,expert_top_action_3,fingerprint_0,fingerprint_1,fingerprint_2,fingerprint_3,fingerprint_4,fingerprint_5,fingerprint_6,fingerprint_7,fingerprint_8,fingerprint_9,fingerprint_10,fingerprint_11,fingerprint_12,fingerprint_13,fingerprint_14,fingerprint_15
74,74,2,0.003844556376523348,0.7984130685479073,0.15,21,3,1.3862438201904297,1.0,0.11974605917930603,0,0,0,1,1,0.2518830895423889,0.4992230236530304,23,0.2491813451051712,0.0,19,0.24626848101615906,0.0,6,0.252667099237442,0.5007768869400024,4,1.2839927673339844,-0.5424381494522095,-0.9725202322006226,0.06315622478723526,2.2465286254882812,0.8210721015930176,0.4787713587284088,0.07150686532258987,1.3258100748062134,-0.4026515483856201,0.24967893958091736,-0.8731802105903625,-1.3401659727096558,0.42378053069114685,-1.3936564922332764,0.7610799670219421
75,75,0,0.9999999999999997,0.0026041666666666665,0.33,14,2,1.3861494064331055,1.0,0.11974605917930603,0,0,1,1,1,0.24357008934020996,0.0,23,0.24877911806106567,0.0,24,0.2541504204273224,0.5006402134895325,6,0.25350040197372437,0.49935975670814514,4,-0.4475083351135254,0.45614317059516907,0.7229113578796387,1.0658985376358032,-0.19111500680446625,-0.5723475813865662,1.5521763563156128,0.22747355699539185,1.1945291757583618,-0.3549416661262512,-0.9410633444786072,-0.010040386579930782,1.9699338674545288,0.6473258137702942,0.6403235197067261,0.03514645993709564
75,75,1,0.005421006187984258,0.5924060819467374,0.21,24,1,1.3862359523773193,1.0,0.11974605917930603,1,0,1,0,1,0.2505834102630615,0.0,23,0.25307533144950867,0.502371609210968,24,0.2506859004497528,0.49762842059135437,6,0.245655357837677,0.0,4,1.0879828929901123,0.7119858264923096,-0.9703218936920166,0.9843185544013977,-1.5783149003982544,-0.3996366858482361,-1.4420267343521118,0.6330294609069824,-0.425425261259079,0.6302189826965332,0.536864161491394,1.0489691495895386,-0.10475271195173264,-0.5284643769264221,1.4112011194229126,-0.5115306377410889
75,75,2,0.0026041668269054657,0.9999999692341516,0.18,21,3,1.386291265487671,1.0,0.11974605917930603,0,0,0,1,1,0.24948644638061523,0.0,23,0.2500951290130615,0.4991051256656647,19,0.2494264543056488,0.0,6,0.25099194049835205,0.5008948445320129,4,1.3223739862442017,-0.4066343307495117,-0.9081594347953796,0.04584403708577156,2.2797186374664307,0.7761849164962769,0.5609374046325684,0.09679992496967316,1.2951010465621948,0.8841885328292847,-0.9780157208442688,1.2056032419204712,-1.6624271869659424,-0.34559160470962524,-1.5007109642028809,0.8022809028625488
76,76,0,0.9999999999999997,0.0026041666666666665,0.33,14,2,1.3861494064331055,1.0,0.11974605917930603,0,0,1,1,1,0.24357008934020996,0.0,23,0.24877911806106567,0.0,24,0.2541504204273224,0.5006402134895325,6,0.25350040197372437,0.49935975670814514,4,-0.4475083351135254,0.45614317059516907,0.7229113578796387,1.0658985376358032,-0.19111500680446625,-0.5723475813865662,1.5521763563156128,0.22747355699539185,1.1945291757583618,-0.3549416661262512,-0.9410633444786072,-0.010040386579930782,1.9699338674545288,0.6473258137702942,0.6403235197067261,0.03514645993709564
76,76,1,0.002611326265483964,0.9986273598393518,0.15,24,1,1.386144757270813,1.0,0.11974605917930603,1,0,1,0,1,0.25002530217170715,0.0,23,0.2549887001514435,0.5031471252441406,24,0.2517988681793213,0.49685293436050415,6,0.2431870996952057,0.0,4,1.0895997285842896,0.7100901007652283,-0.9736796021461487,0.989983081817627,-1.5778086185455322,-0.400512158870697,-1.4410994052886963,0.6332130432128906,-0.41812631487846375,0.6321852207183838,0.5232391357421875,1.0392518043518066,-0.10682415962219238,-0.5204233527183533,1.3901275396347046,-0.5476265549659729
76,76,2,0.0026041666666666665,1.0,0.27,21,1,1.3862766027450562,1.0,0.11974605917930603,0,0,0,1,1,0.2493252158164978,0.0,23,0.251519113779068,0.5002458691596985,19,0.2512718737125397,0.4997541308403015,6,0.24788382649421692,0.0,4,1.301809310913086,0.8835594654083252,-0.9840574860572815,1.2068027257919312,-1.6605441570281982,-0.3460398018360138,-1.4984639883041382,0.8000320792198181,-0.329910546541214,0.6644816398620605,0.540124237537384,1.0777533054351807,-0.07648009061813354,-0.45972850918769836,1.4105838537216187,-0.5182781219482422
77,77,0,0.9999999999999997,0.0026041666666666665,0.33,14,2,1.3861494064331055,1.0,0.11974605917930603,0,0,1,1,1,0.24357008934020996,0.0,23,0.24877911806106567,0.0,24,0.2541504204273224,0.5006402134895325,6,0.25350040197372437,0.49935975670814514,4,-0.4475083351135254,0.45614317059516907,0.7229113578796387,1.0658985376358032,-0.19111500680446625,-0.5723475813865662,1.5521763563156128,0.22747355699539185,1.1945291757583618,-0.3549416661262512,-0.9410633444786072,-0.010040386579930782,1.9699338674545288,0.6473258137702942,0.6403235197067261,0.03514645993709564
77,77,1,0.00488191413763751,0.6979033178645241,0.15,24,1,1.386281967163086,1.0,0.11974605917930603,1,0,0,0,1,0.25009626150131226,0.49821677803993225,23,0.2518865168094635,0.5017831325531006,24,0.24957039952278137,0.0,6,0.24844682216644287,0.0,4,1.0968170166015625,0.7085628509521484,-0.9733195900917053,0.9947606325149536,-1.5810292959213257,-0.4010866582393646,-1.4368191957473755,0.6333152651786804,1.3402438163757324,-0.3531583249568939,0.30244433879852295,-0.8661910891532898,-1.322595238685608,0.43697869777679443,-1.3765795230865479,0.7899221777915955
77,77,2,0.003466128785844021,0.854554850764944,0.09,21,3,1.3862617015838623,1.0,0.11974605917930603,0,0,0,1,1,0.2502225935459137,0.4972069263458252,23,0.24930939078330994,0.0,19,0.24743418395519257,0.0,6,0.253033846616745,0.5027930736541748,4,1.2999171018600464,-0.4957743287086487,-0.9358448386192322,0.05423285439610481,2.26883602142334,0.7996114492416382,0.5155991315841675,0.08702852576971054,1.3196009397506714,-0.39673933386802673,0.26005035638809204,-0.8771786093711853,-1.3454941511154175,0.4163937568664551,-1.3923008441925049,0.7645140290260315
