rollout_id,theta_true_id,true_u_req,selected_u_ctrl,recomputed_u_ctrl,under_control_amount,true_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_quantile_level,posterior_cdf_at_true_u_req,selected_actions,observations,true_M_values,true_K_values
495,12,0.6,0.45,0.6,0.14999999999999997,True,1.0000001207012925,0.9999999396493578,0.4500000004931047,8.600330535197127e-06,1.0,1.0,13 21,3.6328081 3.1444627,0.023702419 0.010354591 0.042286045 0.045995469 0.051778461,0.084687714 0.26980215 0.14577395 0.10971333 0.27772922
496,6,0.6,0.6,0.6,0.0,True,1.0437509212470406,0.9786668625465773,0.5999999935409892,3.112638062776723e-05,1.0,1.0,22 16,1.4365868 3.3005836,0.035803429 0.015793281 0.041174488 0.048834156 0.040650165,0.16559036 0.082935533 0.1660114 0.39340784 0.36405211
497,8,0.1,0.6,0.6,-0.5,True,4.96864419475936,0.2840288851873733,0.3605518021408253,0.16287134990337995,1.0,0.21958924654035555,17 12,1.4984699 1.4301331,0.042066408 0.052631642 0.039647051 0.023004872 0.051994076,0.31393325 0.42785807 0.37691312 0.21425327 0.25177834
498,2,0.3,0.25,0.35,0.04999999999999999,True,1.0082676239004453,0.995884170660128,0.25020751997655505,0.003241263141470791,1.0,0.9999654297080506,24 1,4.5087008 2.0930464,0.047675655 0.036907166 0.026486586 0.049421435 0.025159741,0.36110167 0.13035735 0.22831527 0.052621068 0.16812262
499,2,0.3,0.3,0.6,0.0,True,1.0000044966052324,0.9999977517024468,0.3000003357844839,0.00022523889998865267,1.0,0.9999977553525796,27 24,2.5557732 4.5087008,0.047675655 0.036907166 0.026486586 0.049421435 0.025159741,0.36110167 0.13035735 0.22831527 0.052621068 0.16812262
500,5,0.25,0.3,0.4,-0.04999999999999999,True,2.4808924548218885,0.5873407749463293,0.22537214578776357,0.05603973235884378,1.0,0.878727912640396,26 24,1.5859387 2.4097074,0.046239497 0.037061343 0.02384456 0.0180326 0.058496271,0.20380763 0.29465118 0.1383336 0.49826354 0.15944696
501,2,0.3,0.35,0.6,-0.04999999999999999,True,1.1384837563402503,0.9351723220734456,0.337366402327394,0.04854484621864827,1.0,0.06482753992975447,27 15,2.5557732 1.3442041,0.047675655 0.036907166 0.026486586 0.049421435 0.025159741,0.36110167 0.13035735 0.22831527 0.052621068 0.16812262
502,8,0.1,0.1,0.35,0.0,True,1.0000005674502217,0.9999997162749718,0.09999998809423429,3.413809552302837e-05,1.0,0.999999992398381,18 26,6.2837951 1.5023147,0.042066408 0.052631642 0.039647051 0.023004872 0.051994076,0.31393325 0.42785807 0.37691312 0.21425327 0.25177834
503,2,0.3,0.35,0.6,-0.04999999999999999,True,1.001136262347297,0.9994322524070097,0.34998308837046266,0.001879215268297287,1.0,0.00046191047707605065,7 14,1.8228165 4.3070965,0.047675655 0.036907166 0.026486586 0.049421435 0.025159741,0.36110167 0.13035735 0.22831527 0.052621068 0.16812262
504,12,0.6,0.45,0.6,0.14999999999999997,True,4.079294226214947,0.3424008683728919,0.3147481111598113,0.13616650303721445,1.0,1.0,15 27,2.1473652 1.5657502,0.023702419 0.010354591 0.042286045 0.045995469 0.051778461,0.084687714 0.26980215 0.14577395 0.10971333 0.27772922
505,5,0.25,0.35,0.35,-0.09999999999999998,True,1.0000000000002651,0.9999999999998674,0.34999999999999337,1.8222909292421172e-08,1.0,9.371825688986576e-27,20 28,1.554186 7.0097323,0.046239497 0.037061343 0.02384456 0.0180326 0.058496271,0.20380763 0.29465118 0.1383336 0.49826354 0.15944696
506,5,0.25,0.4,0.6,-0.15000000000000002,True,3.6106526972829323,0.4230659338874648,0.2712907316965014,0.09379843759567956,1.0,0.38213330637127474,24 9,2.4097074 2.1497084,0.046239497 0.037061343 0.02384456 0.0180326 0.058496271,0.20380763 0.29465118 0.1383336 0.49826354 0.15944696
507,6,0.6,0.6,0.6,0.0,True,1.000136855672528,0.9999315769773546,0.5999897365466033,0.0012407307004552986,1.0,1.0,21 3,3.1369087 3.2679895,0.035803429 0.015793281 0.041174488 0.048834156 0.040650165,0.16559036 0.082935533 0.1660114 0.39340784 0.36405211
508,1,0.1,0.45,0.45,-0.35,True,1.0437450209808197,0.9785856259445479,0.4457171251889096,0.02895223558847595,1.0,2.1809035455180423e-22,29 8,7.5621211 4.3516942,0.031166322 0.05138513 0.030459957 0.037479684 0.011377956,0.078223065 0.42146952 0.12402827 0.21881615 0.19253217
509,8,0.1,0.15,0.3,-0.04999999999999999,True,4.907662758434702,0.2503375092137402,0.0970154826522999,0.04991747526550992,1.0,0.5298782574429505,1 4,1.5181398 2.3744184,0.042066408 0.052631642 0.039647051 0.023004872 0.051994076,0.31393325 0.42785807 0.37691312 0.21425327 0.25177834
510,0,0.1,0.15,0.3,-0.04999999999999999,True,2.668365806780811,0.5433749507823852,0.06446953271258549,0.03439084173615779,1.0,0.8769778478895104,16 20,1.5104831 1.7438455,0.035591081 0.057523185 0.017207981 0.057432472 0.025591573,0.34715992 0.16049852 0.39583265 0.14525363 0.42407368
511,8,0.1,0.15,0.3,-0.04999999999999999,True,4.231867991284353,0.29023401064088183,0.08433976081969918,0.04749978597949951,1.0,0.6566760297668794,1 29,1.5181398 2.8238037,0.042066408 0.052631642 0.039647051 0.023004872 0.051994076,0.31393325 0.42785807 0.37691312 0.21425327 0.25177834
