update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
842,0.14765626192092896,0.14765626192092896,MoE-sBOED,0.051759958267211914,53888,3.9615209102630615,1.3861525058746338,0.018994193524122238,0.25408732891082764,0.11274952441453934,,,,,,,,,,,
843,0.16312500834465027,0.16312500834465027,MoE-sBOED,0.05197715759277344,53952,3.9622745513916016,1.3861502408981323,0.016871299594640732,0.2545316219329834,0.11262261122465134,,,,,,,,,,,
844,0.15855468809604645,0.15855468809604645,MoE-sBOED,0.052427053451538086,54016,3.962322235107422,1.386146068572998,0.015810612589120865,0.2549475133419037,0.11252160370349884,,,,,,,,,,,
845,0.15363281965255737,0.15363281965255737,MoE-sBOED,0.05174112319946289,54080,3.9626712799072266,1.3861308097839355,0.015235437080264091,0.2556886672973633,0.1124102920293808,,,,,,,,,,,
846,0.1655859351158142,0.1655859351158142,MoE-sBOED,0.052049875259399414,54144,3.9637088775634766,1.3860993385314941,0.015252630226314068,0.25651684403419495,0.11233814060688019,,,,,,,,,,,
847,0.15222656726837158,0.15222656726837158,MoE-sBOED,0.052141427993774414,54208,3.9637231826782227,1.386063575744629,0.015298979356884956,0.25762566924095154,0.11228868365287781,,,,,,,,,,,
848,0.15468749403953552,0.15468749403953552,MoE-sBOED,0.051722049713134766,54272,3.9645776748657227,1.385983943939209,0.014420797117054462,0.259115606546402,0.1122429370880127,,,,,,,,,,,
849,0.15328125655651093,0.15328125655651093,MoE-sBOED,0.052258968353271484,54336,3.9639739990234375,1.385936975479126,0.013212683610618114,0.259678453207016,0.11221999675035477,,,,,,,,,,,
850,0.15046875178813934,0.15046875178813934,MoE-sBOED,0.05140256881713867,54400,3.962747097015381,1.3859288692474365,0.013449251651763916,0.2596951127052307,0.11224860697984695,0.14150390625,0.13705078124999998,6,1.055482222608544,0.046875,0.1875,0,0.007910156250000001,1101.5120507812499,0,required
851,0.14976562559604645,0.14976562559604645,MoE-sBOED,0.0500340461730957,54464,3.959984302520752,1.3859213590621948,0.016049562022089958,0.2578427195549011,0.11232975125312805,,,,,,,,,,,
