system,history_id,history_step,previous_actions,previous_observations,candidate_bus,candidate_amplitude,expected_continuous_objective,expected_snapped_objective,is_joint_optimal,is_bus_optimal,is_amplitude_optimal_given_bus,bus_objective_gap,history_source
ieee9,0,1,0,3.13803409,2,0.1,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,3,0.1,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,4,0.1,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,5,0.1,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,6,0.1,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,7,0.1,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,8,0.1,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,0,0.15,0.9000000000000001,0.96,0,1,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,1,0.15,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,2,0.15,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,3,0.15,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,4,0.15,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,5,0.15,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,6,0.15,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,7,0.15,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,8,0.15,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,0,0.2,0.9000000000000001,0.96,0,1,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,1,0.2,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,2,0.2,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,3,0.2,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,4,0.2,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,5,0.2,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,6,0.2,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,7,0.2,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,8,0.2,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,0,0.3,0.9000000000000001,0.96,0,1,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,1,0.3,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,2,0.3,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,3,0.3,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,4,0.3,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,5,0.3,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
