xi1,y1_bin,y1_bin_id,y1_low,y1_high,n_histories,dominant_xi2_star,dominant_fraction,n_unique_xi2_star,xi2_star_distribution
16,medium,2,2.0590825269509807,2.449174261043603,52,25,0.1346153846153846,22,"{""14"": 2, ""13"": 3, ""28"": 3, ""9"": 3, ""15"": 4, ""23"": 3, ""0"": 2, ""25"": 7, ""20"": 3, ""4"": 2, ""3"": 2, ""19"": 5, ""5"": 2, ""17"": 1, ""29"": 1, ""24"": 3, ""27"": 1, ""18"": 1, ""7"": 1, ""10"": 1, ""8"": 1, ""2"": 1}"
16,medium_high,3,2.449174261043603,2.698396308613642,50,4,0.08,21,"{""22"": 2, ""9"": 2, ""28"": 3, ""19"": 3, ""8"": 2, ""27"": 2, ""4"": 4, ""24"": 4, ""29"": 1, ""15"": 2, ""13"": 3, ""11"": 3, ""14"": 2, ""20"": 2, ""2"": 4, ""1"": 2, ""7"": 4, ""17"": 2, ""18"": 1, ""12"": 1, ""23"": 1}"
16,high,4,2.698396308613642,3.5595536710219524,52,0,0.5769230769230769,17,"{""0"": 30, ""6"": 1, ""1"": 3, ""2"": 1, ""27"": 1, ""29"": 1, ""14"": 2, ""19"": 2, ""7"": 2, ""9"": 1, ""5"": 2, ""12"": 1, ""25"": 1, ""15"": 1, ""18"": 1, ""20"": 1, ""26"": 1}"
17,low,0,0.933199197361019,1.1476756481909194,51,11,0.11764705882352941,19,"{""11"": 6, ""24"": 4, ""14"": 1, ""1"": 6, ""29"": 5, ""23"": 2, ""26"": 5, ""28"": 1, ""19"": 3, ""8"": 3, ""16"": 4, ""6"": 1, ""9"": 2, ""4"": 1, ""3"": 3, ""13"": 1, ""25"": 1, ""20"": 1, ""10"": 1}"
17,medium_low,1,1.1476756481909194,1.2579037618602302,51,6,0.13725490196078433,18,"{""16"": 6, ""26"": 1, ""28"": 3, ""14"": 4, ""6"": 7, ""21"": 2, ""23"": 1, ""11"": 6, ""1"": 3, ""8"": 1, ""9"": 3, ""4"": 3, ""24"": 4, ""29"": 2, ""0"": 1, ""19"": 2, ""18"": 1, ""13"": 1}"
17,medium,2,1.2579037618602302,1.3647749644359628,51,6,0.19607843137254902,19,"{""20"": 2, ""1"": 7, ""11"": 2, ""6"": 10, ""14"": 3, ""13"": 2, ""4"": 3, ""24"": 2, ""21"": 5, ""18"": 1, ""29"": 2, ""26"": 1, ""8"": 3, ""16"": 2, ""3"": 1, ""9"": 2, ""25"": 1, ""28"": 1, ""10"": 1}"
17,medium_high,3,1.3647749644359628,1.5238425526070745,51,6,0.11764705882352941,19,"{""8"": 5, ""25"": 1, ""13"": 5, ""3"": 2, ""19"": 1, ""6"": 6, ""18"": 1, ""23"": 3, ""28"": 6, ""1"": 4, ""11"": 1, ""24"": 2, ""9"": 3, ""5"": 1, ""4"": 5, ""16"": 2, ""29"": 1, ""26"": 1, ""15"": 1}"
17,high,4,1.5238425526070745,3.057202880172497,52,9,0.11538461538461539,22,"{""3"": 3, ""9"": 6, ""11"": 3, ""29"": 2, ""13"": 3, ""26"": 2, ""24"": 3, ""25"": 2, ""8"": 4, ""15"": 1, ""6"": 2, ""28"": 1, ""1"": 3, ""21"": 1, ""10"": 1, ""20"": 3, ""0"": 3, ""14"": 1, ""5"": 2, ""23"": 3, ""18"": 1, ""4"": 2}"
18,low,0,2.8121718090949805,3.1911299908361506,51,21,0.09803921568627451,19,"{""24"": 4, ""21"": 5, ""14"": 3, ""26"": 4, ""16"": 3, ""4"": 5, ""15"": 2, ""6"": 5, ""9"": 2, ""25"": 1, ""11"": 5, ""20"": 2, ""10"": 1, ""0"": 2, ""12"": 2, ""5"": 1, ""29"": 2, ""1"": 1, ""2"": 1}"
18,medium_low,1,3.1911299908361506,3.5701920073106965,51,9,0.0784313725490196,23,"{""9"": 4, ""2"": 3, ""15"": 1, ""6"": 2, ""19"": 4, ""5"": 3, ""11"": 3, ""25"": 2, ""29"": 3, ""21"": 3, ""17"": 2, ""14"": 3, ""26"": 4, ""24"": 2, ""7"": 3, ""12"": 1, ""4"": 1, ""20"": 2, ""16"": 1, ""10"": 1, ""23"": 1, ""0"": 1, ""22"": 1}"
18,medium,2,3.5701920073106965,7.027322645513375,51,16,0.11764705882352941,25,"{""6"": 4, ""11"": 3, ""0"": 5, ""2"": 1, ""15"": 3, ""17"": 1, ""28"": 2, ""22"": 3, ""25"": 1, ""16"": 6, ""21"": 3, ""1"": 2, ""10"": 1, ""27"": 2, ""13"": 1, ""3"": 1, ""19"": 1, ""5"": 2, ""7"": 1, ""14"": 1, ""20"": 2, ""29"": 1, ""8"": 1, ""26"": 2, ""4"": 1}"
