rollout_id,theta_test_id,u_myopic,u_fixed,diff_m_minus_f,seq_myopic,seq_fixed,safe_myopic,safe_fixed
254,14,0.7,0.7,0.0,1 0,10 11,True,True
255,15,0.7,0.6,0.09999999999999998,11 4,10 11,True,True
256,0,0.7,0.5,0.19999999999999996,26 4,10 11,True,True
257,1,0.8,0.6,0.20000000000000007,1 4,10 11,True,True
258,2,0.7,0.7,0.0,6 0,10 11,True,True
259,3,1.0,1.0,0.0,1 0,10 11,True,True
260,4,0.8,0.9,-0.09999999999999998,1 4,10 11,True,True
261,5,0.7,0.7,0.0,1 10,10 11,True,True
262,6,1.0,1.0,0.0,1 0,10 11,True,True
263,7,1.0,1.0,0.0,21 0,10 11,True,True
264,8,0.45,0.5,-0.04999999999999999,1 3,10 11,True,True
265,9,0.7,0.7,0.0,1 0,10 11,True,True
266,10,0.6,0.6,0.0,1 7,10 11,True,True
267,11,0.6,0.6,0.0,6 2,10 11,True,True
268,12,1.0,1.0,0.0,1 0,10 11,True,True
269,13,0.9,0.9,0.0,1 0,10 11,True,True
270,14,0.7,0.7,0.0,6 0,10 11,True,True
271,15,0.6,0.6,0.0,1 25,10 11,True,True
272,0,0.6,0.5,0.09999999999999998,1 17,10 11,True,True
273,1,0.45,0.6,-0.14999999999999997,1 20,10 11,True,True
274,2,0.7,0.7,0.0,1 4,10 11,True,True
275,3,1.0,1.0,0.0,11 0,10 11,True,True
276,4,0.8,0.8,0.0,6 4,10 11,True,True
277,5,0.7,0.7,0.0,11 0,10 11,True,True
278,6,1.0,1.0,0.0,1 0,10 11,True,True
279,7,1.0,1.0,0.0,1 0,10 11,True,True
280,8,0.45,0.5,-0.04999999999999999,1 23,10 11,True,True
281,9,0.7,0.7,0.0,1 3,10 11,True,True
282,10,0.7,0.7,0.0,1 20,10 11,True,True
283,11,0.6,0.6,0.0,1 2,10 11,True,True
284,12,1.0,1.0,0.0,1 0,10 11,True,True
285,13,0.9,0.9,0.0,16 0,10 11,True,True
286,14,0.7,0.7,0.0,1 4,10 11,True,True
287,15,0.6,0.6,0.0,1 25,10 11,True,True
288,0,0.6,0.7,-0.09999999999999998,1 22,10 11,True,True
289,1,0.45,0.6,-0.14999999999999997,1 3,10 11,True,True
290,2,0.7,0.7,0.0,11 0,10 11,True,True
291,3,0.9,1.0,-0.09999999999999998,21 1,10 11,True,True
292,4,0.8,0.8,0.0,16 4,10 11,True,True
293,5,0.7,0.7,0.0,6 4,10 11,True,True
294,6,1.0,1.0,0.0,1 0,10 11,True,True
295,7,1.0,1.0,0.0,16 0,10 11,True,True
296,8,0.7,0.6,0.09999999999999998,11 15,10 11,True,True
297,9,0.7,0.7,0.0,1 0,10 11,True,True
298,10,0.7,0.6,0.09999999999999998,1 0,10 11,True,True
299,11,0.45,0.6,-0.14999999999999997,16 3,10 11,True,True
300,12,1.0,1.0,0.0,1 0,10 11,True,True
301,13,0.9,0.9,0.0,1 0,10 11,True,True
302,14,0.7,0.7,0.0,1 0,10 11,True,True
303,15,0.6,0.6,0.0,1 25,10 11,True,True
304,0,0.6,0.45,0.14999999999999997,16 7,10 11,True,True
305,1,0.6,0.45,0.14999999999999997,16 25,10 11,True,True
306,2,0.7,0.7,0.0,1 0,10 11,True,True
307,3,0.8,1.0,-0.19999999999999996,1 3,10 11,True,True
308,4,0.9,0.8,0.09999999999999998,1 3,10 11,True,True
309,5,0.7,0.7,0.0,1 0,10 11,True,True
310,6,1.0,1.0,0.0,1 0,10 11,True,True
311,7,1.0,1.0,0.0,16 0,10 11,True,True
312,8,0.5,0.7,-0.19999999999999996,1 27,10 11,True,True
313,9,0.7,0.7,0.0,1 0,10 11,True,True
314,10,0.7,0.7,0.0,1 20,10 11,True,True
315,11,0.5,0.6,-0.09999999999999998,1 3,10 11,True,True
316,12,1.0,1.0,0.0,6 0,10 11,True,True
317,13,0.9,0.9,0.0,1 0,10 11,True,True
318,14,0.7,0.7,0.0,1 0,10 11,True,True
319,15,0.6,0.6,0.0,21 0,10 11,True,True
320,0,0.7,0.45,0.24999999999999994,16 25,10 11,True,True
321,1,0.5,0.6,-0.09999999999999998,6 2,10 11,True,True
322,2,0.7,0.7,0.0,16 0,10 11,True,True
323,3,1.0,1.0,0.0,1 0,10 11,True,True
324,4,0.8,0.8,0.0,21 0,10 11,True,True
325,5,0.7,0.8,-0.10000000000000009,1 0,10 11,True,True
326,6,1.0,1.0,0.0,1 0,10 11,True,True
327,7,1.0,1.0,0.0,11 0,10 11,True,True
328,8,0.5,0.7,-0.19999999999999996,6 22,10 11,True,True
329,9,0.7,0.7,0.0,1 29,10 11,True,True
330,10,0.7,0.7,0.0,1 0,10 11,True,True
331,11,0.6,0.6,0.0,1 17,10 11,True,True
332,12,1.0,1.0,0.0,16 0,10 11,True,True
333,13,0.8,0.9,-0.09999999999999998,21 4,10 11,True,True
