update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,best_validation_so_far
33,C0,48,96,1584,0.0708824512138963,0.132045463254072,0.009729140438139439,-0.01422188151627779,0.9948670268058777,0.036905769258737564,0.0416666679084301,0.3931867778301239,0.15880659222602844,0.8375,1.2388113737106323,0.7169061303138733,,,,,,,,,,,,,
34,C0,48,96,1632,-0.08622579682866731,0.1317811305139985,0.009183522313833237,-0.011053393594920635,0.941838264465332,0.03504747524857521,0.03125,0.2995143532752991,0.09470516443252563,0.88125,1.1367074251174927,0.7053055167198181,,,,,,,,,,,,,
35,C0,48,96,1680,0.06753471166640522,0.1348825765541712,0.008719162084162235,-0.015989994630217552,1.0192590951919556,0.01197044551372528,0.02083333395421505,0.8119595646858215,0.08709604293107986,0.8875000000000002,1.2003430128097534,0.8623642921447754,,,,,,,,,,,,,
36,C0,48,96,1728,0.006698537342250371,0.1307971379006385,0.00856719445437193,-0.0033061106223613024,0.9667506217956543,0.012637055478990078,0.02083333395421505,0.6378553509712219,0.08147857338190079,0.81875,1.283986210823059,0.6570020318031311,,,,,,,,,,,,,
37,C0,48,96,1776,-0.05385113601883251,0.1313211951354644,0.010181854479014874,-0.010528403334319592,1.0439040660858154,0.013035033829510212,0.02083333395421505,0.3268013894557953,0.17318525910377502,0.875,1.3249646425247192,0.7670495510101318,,,,,,,,,,,,,
38,C0,48,96,1824,0.0554140452022354,0.13118186385756117,0.00953845027834177,-0.01670723408460617,1.0515044927597046,0.017384210601449013,0.09375,0.1529855877161026,0.14129620790481567,0.85,1.3797250986099243,0.7423203587532043,,,,,,,,,,,,,
39,C0,48,96,1872,-0.03184103700766958,0.1336677129855569,0.008947898633778095,-0.009144052863121033,1.0718761682510376,0.009127967059612274,0.03125,0.22113117575645447,0.06260981410741806,0.8312499999999999,1.3962763547897339,0.7460684776306152,,,,,,,,,,,,,
40,C0,48,96,1920,-0.004556526983777663,0.13505405765994039,0.00915511418133974,-0.018008550629019737,1.088157057762146,-0.009571523405611515,0.09375,0.3019503057003021,0.025606080889701843,0.8624999999999999,1.3691210746765137,0.8125128149986267,0.83125,0.14882351124738324,0.7,0.7,1.0,1.0,"[14, 2]",0.5416666666666666,2,0.6896709283570267,1.369269609451294,0.7669015100432767,0.83125
41,C0,48,96,1968,0.013913624341289224,0.13826054689953202,0.009470379911363125,-0.018383707851171494,1.0242735147476196,0.01215543132275343,0.0520833320915699,0.44094598293304443,0.03834214434027672,0.8624999999999999,1.3581668138504028,0.6743249297142029,,,,,,,,,,,,,
42,C0,48,96,2016,0.00863916556288801,0.1324889416805661,0.008766395039856434,-0.010922395624220371,1.0168567895889282,0.023339219391345978,0.02083333395421505,0.5658272504806519,0.019743340089917183,0.8375,1.3078142404556274,0.7185884118080139,,,,,,,,,,,,,
