update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,expert_residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
305,0.19218750298023224,0.19218750298023224,MoE-sBOED,0.055140018463134766,19520,2.5522408485412598,1.3851332664489746,0.0024305670522153378,0.2579554617404938,0.1209704801440239,,,,,,,,,,,
306,0.17390625178813934,0.17390625178813934,MoE-sBOED,0.05519819259643555,19584,2.6849875450134277,1.3851110935211182,0.002974692266434431,0.25633835792541504,0.12093789130449295,,,,,,,,,,,
307,0.17484375834465027,0.17484375834465027,MoE-sBOED,0.05529046058654785,19648,2.7102432250976562,1.3848254680633545,0.003367951139807701,0.25576674938201904,0.12090183049440384,,,,,,,,,,,
308,0.20156249403953552,0.20156249403953552,MoE-sBOED,0.05519700050354004,19712,2.643050193786621,1.3840739727020264,0.00305764889344573,0.2612641453742981,0.12092617154121399,,,,,,,,,,,
309,0.18328124284744263,0.18328124284744263,MoE-sBOED,0.05519556999206543,19776,2.586214542388916,1.382347583770752,0.0027137077413499355,0.27098584175109863,0.12098687887191772,,,,,,,,,,,
310,0.19734375178813934,0.19734375178813934,MoE-sBOED,0.05518960952758789,19840,2.581066131591797,1.3822599649429321,0.0021196682937443256,0.26669034361839294,0.12103144079446793,,,,,,,,,,,
311,0.1823437511920929,0.1823437511920929,MoE-sBOED,0.05517864227294922,19904,2.573408603668213,1.3829774856567383,0.0018207335378974676,0.26101207733154297,0.12106651812791824,,,,,,,,,,,
312,0.1795312613248825,0.1795312613248825,MoE-sBOED,0.055144309997558594,19968,2.5739378929138184,1.3843047618865967,0.0016850789543241262,0.25865888595581055,0.12102679163217545,,,,,,,,,,,
313,0.16828125715255737,0.16828125715255737,MoE-sBOED,0.05523538589477539,20032,2.6164135932922363,1.3838224411010742,0.0016457922756671906,0.26400187611579895,0.12092103809118271,,,,,,,,,,,
314,0.16453126072883606,0.16453126072883606,MoE-sBOED,0.05531740188598633,20096,2.636390209197998,1.3829705715179443,0.001451812102459371,0.26573434472084045,0.12082141637802124,,,,,,,,,,,
315,0.1678124964237213,0.1678124964237213,MoE-sBOED,0.055194854736328125,20160,2.5675668716430664,1.3825913667678833,0.001413203775882721,0.26939719915390015,0.12069617211818695,,,,,,,,,,,
316,0.1664062738418579,0.1664062738418579,MoE-sBOED,0.05517005920410156,20224,2.6763505935668945,1.3824923038482666,0.0016461977502331138,0.2742401361465454,0.12054192274808884,,,,,,,,,,,
317,0.16968749463558197,0.16968749463558197,MoE-sBOED,0.05517315864562988,20288,2.5877487659454346,1.3828227519989014,0.0022590456064790487,0.27521947026252747,0.12043706327676773,,,,,,,,,,,
318,0.18421874940395355,0.18421874940395355,MoE-sBOED,0.05518531799316406,20352,2.4980640411376953,1.3835194110870361,0.002885547000914812,0.2714141011238098,0.12039055675268173,,,,,,,,,,,
319,0.1837500035762787,0.1837500035762787,MoE-sBOED,0.0553586483001709,20416,2.618896484375,1.3842002153396606,0.0036760501097887754,0.26618725061416626,0.12037745863199234,,,,,,,,,,,
320,0.16640624403953552,0.16640624403953552,MoE-sBOED,0.055155038833618164,20480,2.529823064804077,1.3845908641815186,0.004432331770658493,0.2618270516395569,0.12036792188882828,,,,,,,,,,,
321,0.18843749165534973,0.18843749165534973,MoE-sBOED,0.05522894859313965,20544,2.638611316680908,1.3847479820251465,0.004944145679473877,0.2582845091819763,0.12038757652044296,,,,,,,,,,,
322,0.1654687523841858,0.1654687523841858,MoE-sBOED,0.05520153045654297,20608,2.727576732635498,1.3847860097885132,0.004631701856851578,0.2566272020339966,0.12041284143924713,,,,,,,,,,,
323,0.17812499403953552,0.17812499403953552,MoE-sBOED,0.05521392822265625,20672,2.744342088699341,1.3848110437393188,0.0034912636037915945,0.2572363018989563,0.1204138696193695,,,,,,,,,,,
324,0.1978124976158142,0.1978124976158142,MoE-sBOED,0.05526018142700195,20736,2.746520519256592,1.3847987651824951,0.0024694802705198526,0.25908899307250977,0.12037549167871475,,,,,,,,,,,
325,0.17109376192092896,0.17109376192092896,MoE-sBOED,0.05528712272644043,20800,2.8120498657226562,1.3848748207092285,0.0023243073374032974,0.25992387533187866,0.1203511655330658,0.17789062499999997,0.098359375,10,1.7735505453654195,0.078125,0.0625,0,0.003046875,1000.223359375,0,diagnostic_only
326,0.1795312613248825,0.1795312613248825,MoE-sBOED,0.055399417877197266,20864,2.7537577152252197,1.3847893476486206,0.0021963200997561216,0.2585794925689697,0.1203593835234642,,,,,,,,,,,
327,0.18281249701976776,0.18281249701976776,MoE-sBOED,0.05518198013305664,20928,2.76662540435791,1.3847007751464844,0.0020296783186495304,0.25442153215408325,0.12031406164169312,,,,,,,,,,,
328,0.1912499964237213,0.1912499964237213,MoE-sBOED,0.05504488945007324,20992,2.75938081741333,1.3846399784088135,0.001985369250178337,0.25848090648651123,0.12027737498283386,,,,,,,,,,,
329,0.19734375178813934,0.19734375178813934,MoE-sBOED,0.055101633071899414,21056,2.7331109046936035,1.3842417001724243,0.001951084821484983,0.26267117261886597,0.12024365365505219,,,,,,,,,,,
330,0.17109374701976776,0.17109374701976776,MoE-sBOED,0.05509185791015625,21120,2.716097116470337,1.3838597536087036,0.0018779812380671501,0.26332664489746094,0.1202075257897377,,,,,,,,,,,
331,0.17671877145767212,0.17671877145767212,MoE-sBOED,0.05503082275390625,21184,2.664416790008545,1.3835828304290771,0.001398958032950759,0.2644537687301636,0.12024697661399841,,,,,,,,,,,
332,0.1795312464237213,0.1795312464237213,MoE-sBOED,0.05512046813964844,21248,2.565911293029785,1.383328914642334,0.001031034393236041,0.26451343297958374,0.12026752531528473,,,,,,,,,,,
333,0.17531250417232513,0.17531250417232513,MoE-sBOED,0.05512213706970215,21312,2.529674530029297,1.3831169605255127,0.0008465935825370252,0.2639662027359009,0.12022385746240616,,,,,,,,,,,
334,0.18140625953674316,0.18140625953674316,MoE-sBOED,0.05508756637573242,21376,2.6596975326538086,1.383314609527588,0.0009028047788888216,0.2594667673110962,0.12014973163604736,,,,,,,,,,,
335,0.19171875715255737,0.19171875715255737,MoE-sBOED,0.05513429641723633,21440,2.716054916381836,1.383446216583252,0.000996678019873798,0.2609606981277466,0.1200605034828186,,,,,,,,,,,
336,0.1720312535762787,0.1720312535762787,MoE-sBOED,0.05514049530029297,21504,2.6586248874664307,1.383357286453247,0.0008764140075072646,0.2611122131347656,0.1200191080570221,,,,,,,,,,,
337,0.1654687523841858,0.1654687523841858,MoE-sBOED,0.05533647537231445,21568,2.6823530197143555,1.3836567401885986,0.0007325584883801639,0.26001715660095215,0.12000542879104614,,,,,,,,,,,
338,0.1875,0.1875,MoE-sBOED,0.05519914627075195,21632,2.626133918762207,1.3839201927185059,0.0007268746267072856,0.2555422782897949,0.12003106623888016,,,,,,,,,,,
339,0.16874998807907104,0.16874998807907104,MoE-sBOED,0.055310726165771484,21696,2.5637173652648926,1.3836421966552734,0.0009460069704800844,0.2583949565887451,0.12008845806121826,,,,,,,,,,,
340,0.1706250011920929,0.1706250011920929,MoE-sBOED,0.05543327331542969,21760,2.5473012924194336,1.3834106922149658,0.0012250200379639864,0.2597866654396057,0.12013854831457138,,,,,,,,,,,
341,0.17906250059604645,0.17906250059604645,MoE-sBOED,0.05567431449890137,21824,2.446329116821289,1.3830811977386475,0.0012526637874543667,0.26228082180023193,0.12014546245336533,,,,,,,,,,,
342,0.1912499964237213,0.1912499964237213,MoE-sBOED,0.05666995048522949,21888,2.525459051132202,1.3834266662597656,0.0010175047209486365,0.2591748833656311,0.12015348672866821,,,,,,,,,,,
343,0.17109376192092896,0.17109376192092896,MoE-sBOED,0.05731511116027832,21952,2.4725961685180664,1.3836476802825928,0.000802677299361676,0.26113712787628174,0.12018278986215591,,,,,,,,,,,
344,0.17765624821186066,0.17765624821186066,MoE-sBOED,0.05785417556762695,22016,2.4790687561035156,1.3838883638381958,0.000829877972137183,0.259711891412735,0.12014327198266983,,,,,,,,,,,
345,0.1706250160932541,0.1706250160932541,MoE-sBOED,0.05771350860595703,22080,2.5274224281311035,1.384049415588379,0.0009561534970998764,0.25738927721977234,0.1200832948088646,,,,,,,,,,,
346,0.1912499964237213,0.1912499964237213,MoE-sBOED,0.0565488338470459,22144,2.5575037002563477,1.3840296268463135,0.0016042075585573912,0.2536360025405884,0.12000259011983871,,,,,,,,,,,
347,0.17765626311302185,0.17765626311302185,MoE-sBOED,0.05707144737243652,22208,2.621075391769409,1.3842345476150513,0.0021882166620343924,0.2566487193107605,0.11995038390159607,,,,,,,,,,,
348,0.17906250059604645,0.17906250059604645,MoE-sBOED,0.05757713317871094,22272,2.7450547218322754,1.3844740390777588,0.003000396303832531,0.2555762529373169,0.11995214968919754,,,,,,,,,,,
