method,theta_test_id,rollout_id,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions,sequence,y_obs
random,13,205,1.0,0.45,0.55,True,0.0002488421741873026,0,0,nan,18 25 3,3.441716861 2.471055856 3.300247118
random,14,206,1.0,0.3,0.7,True,0.0001775571145117283,0,0,nan,4 27 22,3.120650376 1.440281511 1.262504024
random,15,207,0.8,0.2,0.6000000000000001,True,0.00016468600369989872,0,0,nan,6 23 9,1.79586629 3.411299065 2.331036481
random,0,208,0.8,0.1,0.7000000000000001,True,0.00016668695025146008,0,0,nan,26 6 25,1.594312213 1.591019955 1.857120457
random,1,209,0.8,0.1,0.7000000000000001,True,0.00018419581465423107,0,0,nan,11 15 29,1.82421779 2.258522907 7.6145412
random,2,210,0.8,0.3,0.5,True,0.00016938615590333939,0,0,nan,5 16 4,1.320353009 1.927033207 4.249593967
random,3,211,1.0,0.5,0.5,True,0.0001569350715726614,0,0,nan,25 27 16,2.158935472 2.206268881 3.081977886
random,4,212,0.9,0.4,0.5,True,0.0001539268996566534,0,0,nan,2 8 17,1.422567729 2.991489524 1.572919817
random,5,213,0.6,0.25,0.35,True,0.00015789596363902092,0,0,nan,13 21 26,6.473398083 1.690769754 1.74360947
random,6,214,1.0,0.6,0.4,True,0.0001596449874341488,0,0,nan,11 9 10,3.375489101 2.764723435 1.552224654
random,7,215,1.0,0.6,0.4,True,0.00016693305224180222,0,0,nan,24 29 5,6.469144149 7.013362207 1.280628565
random,8,216,0.6,0.1,0.5,True,0.00016956101171672344,0,0,nan,28 6 9,6.500702489 1.694253117 2.47514953
random,9,217,0.8,0.35,0.45000000000000007,True,0.00016337400302290916,0,0,nan,12 3 18,1.265013111 7.035385145 7.345082782
random,10,218,0.9,0.15,0.75,True,0.00015853089280426502,0,0,nan,23 27 17,3.47340699 2.835797979 2.435295884
random,11,219,0.9,0.1,0.8,True,0.00016324385069310665,0,0,nan,20 5 9,3.239271484 2.753058703 3.355807407
random,12,220,0.7,0.6,0.09999999999999998,True,0.00017357198521494865,0,0,nan,15 14 20,2.24290451 2.565602736 2.308815393
random,13,221,1.0,0.45,0.55,True,0.00016672001220285892,0,0,nan,22 13 3,1.474865249 3.25018419 3.506466909
random,14,222,0.9,0.3,0.6000000000000001,True,0.0001765470951795578,0,0,nan,8 28 14,4.933858337 5.053369614 3.160897228
random,15,223,0.8,0.2,0.6000000000000001,True,0.00017918902449309826,0,0,nan,8 6 19,3.361314253 1.894286133 2.345870782
random,0,224,0.8,0.1,0.7000000000000001,True,0.00018825894221663475,0,0,nan,23 11 13,3.302280697 1.645794462 3.231342159
