method,theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions
advanced_random_init_dad,8,104,"[23, 28, 24]","[6.318782908654457, 6.553380734794352, 2.598607089255643]",0.6,0.1,0.5,True,0.0038233676459640265,0,0,nan
advanced_random_init_dad,9,105,"[23, 28, 24]","[7.507449659161253, 7.879493443313985, 2.712692762932264]",0.8,0.35,0.45000000000000007,True,0.0032157683279365303,0,0,nan
advanced_random_init_dad,10,106,"[23, 28, 24]","[3.5853470572045714, 3.718400250596371, 5.006860063043696]",0.8600000000000001,0.15,0.7100000000000001,True,0.0030770781449973583,0,0,nan
advanced_random_init_dad,11,107,"[23, 28, 24]","[3.3400743647435203, 3.527679053282409, 3.7877598822652057]",0.76,0.1,0.66,True,0.003123575542122126,0,0,nan
advanced_random_init_dad,12,108,"[23, 28, 24]","[3.9350016924031213, 4.156387128517877, 2.683424421145175]",0.8800000000000001,0.6,0.28000000000000014,True,0.003134464379400015,0,0,nan
advanced_random_init_dad,13,109,"[23, 28, 24]","[3.356637615482844, 3.671823381118123, 2.42153236082961]",0.8400000000000001,0.45,0.39000000000000007,True,0.003147280542179942,0,0,nan
advanced_random_init_dad,14,110,"[23, 28, 24]","[5.017215849232736, 5.277521021422326, 3.3510197858063417]",0.9,0.3,0.6000000000000001,True,0.003344348771497607,0,0,nan
advanced_random_init_dad,15,111,"[23, 28, 24]","[3.524592335399835, 3.7360743698436365, 2.41314188595463]",0.72,0.2,0.52,True,0.003171688225120306,0,0,nan
advanced_random_init_dad,0,112,"[23, 28, 24]","[3.1519013684600705, 3.5008974227027485, 4.187803636702365]",0.8,0.1,0.7000000000000001,True,0.0031490734312683345,0,0,nan
advanced_random_init_dad,1,113,"[23, 28, 24]","[4.687516640354086, 4.894080706086807, 7.11793348642139]",0.78,0.1,0.68,True,0.0031537307891994714,0,0,nan
advanced_random_init_dad,2,114,"[23, 28, 24]","[3.8655462407087806, 3.7468539486754304, 4.4647343273878]",0.8600000000000001,0.3,0.56,True,0.003142204275354743,0,0,nan
advanced_random_init_dad,3,115,"[23, 28, 24]","[7.015436145977203, 7.532218190447668, 4.794761111186313]",0.8400000000000001,0.5,0.3400000000000001,True,0.0031675076112151145,0,0,nan
advanced_random_init_dad,4,116,"[23, 28, 24]","[3.0990493305635276, 3.1707606765073355, 2.206645444279646]",0.9800000000000001,0.4,0.5800000000000001,True,0.0031657590065151454,0,0,nan
advanced_random_init_dad,5,117,"[23, 28, 24]","[6.68481111358886, 6.960896872510018, 2.4324684952440774]",0.6599999999999999,0.25,0.4099999999999999,True,0.0031746713910251858,0,0,nan
advanced_random_init_dad,6,118,"[23, 28, 24]","[3.662314433834274, 3.612380686491429, 3.0944126922168067]",0.9199999999999999,0.6,0.31999999999999995,True,0.003177889483049512,0,0,nan
advanced_random_init_dad,7,119,"[23, 28, 24]","[4.951153362784376, 5.161468222644787, 6.462165729811149]",1.0,0.6,0.4,True,0.0035491988062858583,0,0,nan
advanced_random_init_dad,8,120,"[23, 28, 24]","[6.355239986398739, 6.577310589923108, 2.521533360169043]",0.72,0.1,0.62,True,0.0039743795990943905,0,0,nan
advanced_random_init_dad,9,121,"[23, 28, 24]","[7.645761150431894, 7.790126002892887, 2.6415504231103055]",0.8,0.35,0.45000000000000007,True,0.004278451949357986,0,0,nan
advanced_random_init_dad,10,122,"[23, 28, 24]","[3.4701095872078884, 3.724575223280306, 5.015142078133805]",0.8600000000000001,0.15,0.7100000000000001,True,0.003743447782471776,0,0,nan
advanced_random_init_dad,11,123,"[23, 28, 24]","[3.5579783335921444, 3.435697898048086, 3.398282585009455]",0.82,0.1,0.72,True,0.0031632279511541127,0,0,nan
advanced_random_init_dad,12,124,"[23, 28, 24]","[3.960919319673342, 3.9775076026171488, 2.5811891805212026]",0.8800000000000001,0.6,0.28000000000000014,True,0.0035291980020701885,0,0,nan
advanced_random_init_dad,13,125,"[23, 28, 24]","[3.3939135364139563, 3.8184498489001046, 2.1806528018539972]",0.8400000000000001,0.45,0.39000000000000007,True,0.003361075604334474,0,0,nan
advanced_random_init_dad,14,126,"[23, 28, 24]","[5.004961406204206, 5.132367804410747, 3.3237054168300166]",0.9,0.3,0.6000000000000001,True,0.0031502669677138328,0,0,nan
advanced_random_init_dad,15,127,"[23, 28, 24]","[3.5320489820084813, 3.72986405303405, 2.404453773803094]",0.7399999999999999,0.2,0.5399999999999998,True,0.003163574356585741,0,0,nan
advanced_random_init_dad,0,128,"[23, 28, 24]","[3.1765715654955295, 3.2318795538361216, 4.223462163018792]",0.8200000000000001,0.1,0.7200000000000001,True,0.003172777919098735,0,0,nan
advanced_random_init_dad,1,129,"[23, 28, 24]","[4.436302620898042, 4.799335100319066, 7.361269413183991]",0.8400000000000001,0.1,0.7400000000000001,True,0.003264336567372084,0,0,nan
advanced_random_init_dad,2,130,"[23, 28, 24]","[3.6987582224640994, 4.004073585897642, 4.494118790779143]",0.8800000000000001,0.3,0.5800000000000001,True,0.0038808831479400395,0,0,nan
advanced_random_init_dad,3,131,"[23, 28, 24]","[7.01478926341741, 7.406182917057841, 4.646111674153631]",0.8400000000000001,0.5,0.3400000000000001,True,0.0038526480086147783,0,0,nan
advanced_random_init_dad,4,132,"[23, 28, 24]","[3.1643249571110736, 3.2053000198895325, 2.2253564457914963]",0.96,0.4,0.5599999999999999,True,0.0038992302492260934,0,0,nan
advanced_random_init_dad,5,133,"[23, 28, 24]","[6.563869572526603, 7.025128192923451, 2.4648503177391907]",0.72,0.25,0.47,True,0.003826819220557809,0,0,nan
advanced_random_init_dad,6,134,"[23, 28, 24]","[3.580853266499238, 3.7101136150026406, 2.990732606101702]",0.9199999999999999,0.6,0.31999999999999995,True,0.0038384210783988237,0,0,nan
advanced_random_init_dad,7,135,"[23, 28, 24]","[5.007630337266466, 5.238888698383543, 6.394630895529699]",1.0,0.6,0.4,True,0.0037896587513387204,0,0,nan
advanced_random_init_dad,8,136,"[23, 28, 24]","[6.281920342213812, 6.6079031566351505, 2.5786094216345887]",0.6,0.1,0.5,True,0.0041403969749808315,0,0,nan
advanced_random_init_dad,9,137,"[23, 28, 24]","[7.415958930545194, 7.793198098438684, 2.60917274092218]",0.7799999999999999,0.35,0.42999999999999994,True,0.0035944226663559677,0,0,nan
advanced_random_init_dad,10,138,"[23, 28, 24]","[3.5118211329258413, 3.6926516005253602, 5.021700172899477]",0.8400000000000001,0.15,0.6900000000000001,True,0.004011072451248765,0,0,nan
advanced_random_init_dad,11,139,"[23, 28, 24]","[3.3963859443070814, 3.5428409516070927, 3.6765368031050785]",0.78,0.1,0.68,True,0.004625314567238093,0,0,nan
advanced_random_init_dad,12,140,"[23, 28, 24]","[3.813912163470656, 3.940806868179235, 2.6068456007384913]",0.8800000000000001,0.6,0.28000000000000014,True,0.004641341371461749,0,0,nan
advanced_random_init_dad,13,141,"[23, 28, 24]","[3.5469983584368365, 3.6753428549779175, 2.2722348724360057]",0.8400000000000001,0.45,0.39000000000000007,True,0.00452717007137835,0,0,nan
advanced_random_init_dad,14,142,"[23, 28, 24]","[5.003424890429589, 5.1995882437064855, 3.3922574354521497]",0.9,0.3,0.6000000000000001,True,0.004032322997227311,0,0,nan
advanced_random_init_dad,15,143,"[23, 28, 24]","[3.5612338387729445, 3.6287449431161436, 2.5158548291613934]",0.76,0.2,0.56,True,0.003215092560276389,0,0,nan
advanced_random_init_dad,0,144,"[23, 28, 24]","[3.2878785080125548, 3.5193262771981564, 4.037870893910286]",0.8,0.1,0.7000000000000001,True,0.0035121691413223743,0,0,nan
