update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,best_validation_so_far
36,C0,24,48,864,0.03223521186411383,0.12682353429735974,0.008492296561598778,-0.01137405913323164,1.160434603691101,0.011407602578401566,0.02083333395421505,0.20938868820667267,0.08000315725803375,0.85,1.484171986579895,0.8261659741401672,,,,,,,,,,,,,
37,C0,24,48,888,-0.08959257559974987,0.12615650228309339,0.008148154243826866,-0.04166567325592041,1.2009005546569824,-0.011898293159902096,0.1458333283662796,0.6443786025047302,0.1198035404086113,0.9250000000000002,1.3167922496795654,1.0382572412490845,,,,,,,,,,,,,
38,C0,24,48,912,0.08822928984959923,0.12975318717384485,0.008701431564986706,-0.03135296329855919,1.0052016973495483,0.037589043378829956,0.1875,0.7747420072555542,0.07135675102472305,0.875,1.1139367818832397,0.8585430979728699,,,,,,,,,,,,,
39,C0,24,48,936,0.03533116762340072,0.13082814191938935,0.010929537005722523,-0.03577737137675285,0.8424049019813538,0.006933821830898523,0.2083333283662796,0.3668156564235687,0.18184813857078552,0.8249999999999998,0.8531360030174255,0.7844172120094299,,,,,,,,,,,,,
40,C0,24,48,960,-0.1070407524506251,0.1355298382473547,0.010212690569460392,-0.016260966658592224,0.8626297116279602,-0.014233444817364216,0.0416666679084301,0.34670358896255493,0.14328444004058838,0.8875000000000001,0.7254790663719177,0.9825981259346008,0.8333333333333334,0.14907119849998599,0.7,0.7,1.0,1.0,"[25, 9]",0.6666666666666666,2,0.6365141682948128,0.727341890335083,0.9498469763331943,0.8333333333333334
41,C0,24,48,984,0.03166083018481732,0.11288970832103379,0.006277119740843773,-0.012435938231647015,0.7341102957725525,0.00687600439414382,0.0,0.4304273724555969,0.05017496645450592,0.9250000000000002,0.6160560846328735,0.8199095726013184,,,,,,,,,,,,,
42,C0,24,48,1008,0.06657325482865177,0.14254381037892128,0.010732871480286121,-0.007172266487032175,0.6152380108833313,0.010384748689830303,0.0,0.45448413491249084,0.1286882907152176,0.8375,0.5612360239028931,0.6602659821510315,,,,,,,,,,,,,
43,C0,24,48,1032,-0.08721683408319948,0.13090811335374444,0.009833320043981075,-0.024320855736732483,0.6591997742652893,0.009962477721273899,0.1458333283662796,0.3869939148426056,0.07674700021743774,0.8874999999999998,0.47344526648521423,0.830874502658844,,,,,,,,,,,,,
44,C0,24,48,1056,0.088734485372901,0.14502942753033937,0.009418617933988571,-0.013789917342364788,0.6639567017555237,0.002528795041143894,0.1041666641831398,0.39727652072906494,0.008311801590025425,0.8375,0.38652393221855164,0.9263768196105957,,,,,,,,,,,,,
45,C0,24,48,1080,-0.10734756036599476,0.11698814773996358,0.00705002760514617,-0.032660435885190964,0.5415459871292114,0.015292525291442871,0.0416666679084301,0.6219786405563354,0.06599194556474686,0.9125,0.3081268072128296,0.7432019710540771,,,,,,,,,,,,,
46,C0,24,48,1104,0.10780510740478837,0.13402362008530405,0.009823977015912533,-0.020452750846743584,0.5692177414894104,0.03653420880436897,0.0625,0.28016403317451477,0.11447684466838837,0.8250000000000001,0.21626199781894684,0.9040970206260681,,,,,,,,,,,,,
47,C0,24,48,1128,-0.010601187775532378,0.13900453444739796,0.01252915058284998,-0.008884784765541553,0.49169281125068665,0.025047436356544495,0.125,0.3934424817562103,0.1927347630262375,0.8249999999999998,0.18089503049850464,0.7878500819206238,,,,,,,,,,,,,
48,C0,24,48,1152,-0.06711631755530832,0.13407209360564912,0.009758704341948032,-0.02712496556341648,0.4638907015323639,-0.01817931979894638,0.0416666679084301,0.7871618866920471,0.09080319851636887,0.8250000000000001,0.15652091801166534,0.7466230392456055,,,,,,,,,,,,,
49,C0,24,48,1176,0.06710746728380525,0.12444160365786634,0.007766065653413534,-0.012471129186451435,0.384594202041626,-0.006031824741512537,0.0416666679084301,1.0591503381729126,0.042801328003406525,0.8000000000000002,0.12284978479146957,0.6564202904701233,,,,,,,,,,,,,
50,C0,24,48,1200,-0.02436379557847974,0.13733402758388846,0.010355869308114052,-0.00430230563506484,0.4279618263244629,0.002374682342633605,0.02083333395421505,0.3632970452308655,0.10150443017482758,0.8375,0.1124284639954567,0.7482168674468994,0.8333333333333334,0.14907119849998599,0.7,0.7,1.0,1.0,"[25, 9]",0.6666666666666666,2,0.6365141682948128,0.11283053457736969,0.7378128170967102,0.8333333333333334
51,C0,24,48,1224,-0.05889986531933147,0.1293537538745799,0.008758106268942356,-0.0013071323046460748,0.41752728819847107,-0.009330905973911285,0.0,0.4499697685241699,0.08049660176038742,0.8624999999999999,0.12642483413219452,0.7195008397102356,,,,,,,,,,,,,
52,C0,24,48,1248,0.0803320177594821,0.13633473919974473,0.009336129762232304,-0.01727360300719738,0.4727480411529541,0.00116941356100142,0.0833333358168602,0.3975679278373718,0.04110340401530266,0.8249999999999998,0.1457730084657669,0.8139715790748596,,,,,,,,,,,,,
53,C0,24,48,1272,-0.04717477924625076,0.12243543741744825,0.00867484137415886,-0.007090163882821798,0.4848153293132782,0.007292717695236206,0.0416666679084301,0.3594198524951935,0.12596283853054047,0.8624999999999999,0.16500775516033173,0.8013069033622742,,,,,,,,,,,,,
54,C0,24,48,1296,0.0060529938985904265,0.13513174199569253,0.009767858311533928,-0.000670338689815253,0.4934377372264862,-0.015935080125927925,0.02083333395421505,0.39083346724510193,0.10020995885133743,0.8375,0.17820848524570465,0.8178711533546448,,,,,,,,,,,,,
55,C0,24,48,1320,-0.01594672898948191,0.13627205855222072,0.00907191727310419,-0.013607005588710308,0.47665488719940186,-0.007854924537241459,0.02083333395421505,0.5138076543807983,0.03501521795988083,0.8874999999999998,0.1737406998872757,0.7711338400840759,,,,,,,,,,,,,
56,C0,24,48,1344,0.0452409358819326,0.14091418128931402,0.00957194808870554,-0.02889750711619854,0.4320981800556183,0.015435375273227692,0.125,0.2876141369342804,0.03443631902337074,0.8125,0.19014103710651398,0.6576299667358398,,,,,,,,,,,,,
57,C0,24,48,1368,0.013297839437921864,0.13661602001852605,0.009900475852191448,-0.006917546037584543,0.442584753036499,0.0010678054532036185,0.0833333358168602,0.4181346595287323,0.08019699901342392,0.8125,0.21253132820129395,0.6723522543907166,,,,,,,,,,,,,
58,C0,24,48,1392,-0.05142724909385043,0.12985075096421508,0.008191450498998165,-0.006843229290097952,0.41226670145988464,-0.026062488555908203,0.0416666679084301,0.12877219915390015,0.011140760034322739,0.8249999999999998,0.23829539120197296,0.5858584046363831,,,,,,,,,,,,,
59,C0,24,48,1416,0.018236203437050208,0.13555015835128578,0.009337465278804302,-0.024023905396461487,0.48996055126190186,0.006617473438382149,0.0416666679084301,1.1172043085098267,0.07186462730169296,0.8249999999999998,0.48724043369293213,0.6233432292938232,,,,,,,,,,,,,
60,C0,24,48,1440,0.0025908856739600724,0.13308613006580824,0.00889579113572836,-0.012127377092838287,0.4237484633922577,-3.721316534210928e-05,0.0833333358168602,0.3387318253517151,0.04701675474643707,0.8374999999999999,0.28855279088020325,0.5500405430793762,0.8333333333333334,0.14907119849998599,0.7,0.7,1.0,1.0,"[25, 9]",0.6666666666666666,2,0.6365141682948128,0.289558082818985,0.541530708471934,0.8333333333333334
61,C0,24,48,1464,-0.034613919968406334,0.13189472845462255,0.008692514151334763,-0.01580209471285343,0.42455968260765076,0.006605361122637987,0.0833333358168602,0.3568793535232544,0.03412988781929016,0.85,0.3173835873603821,0.5244065523147583,,,,,,,,,,,,,
62,C0,24,48,1488,0.03764753606418771,0.14072308542424317,0.009675420820713043,0.0006333937053568661,0.3830523192882538,-0.002952881157398224,0.0,0.3023846745491028,0.020189912989735603,0.8374999999999999,0.31795915961265564,0.44704222679138184,,,,,,,,,,,,,
63,C0,24,48,1512,-0.014553810864686942,0.12091554541073408,0.007669811602681875,-0.0054342299699783325,0.38811811804771423,-0.009357201866805553,0.0,0.42946857213974,0.059784162789583206,0.8375,0.28018996119499207,0.48772332072257996,,,,,,,,,,,,,
64,C0,24,48,1536,0.038647694175442095,0.11354664890431679,0.006426043808460236,-0.0005548546905629337,0.36599090695381165,-0.005373592022806406,0.0,0.5494727492332458,0.02892075851559639,0.7875,0.2435113787651062,0.4793664515018463,,,,,,,,,,,,,
65,C0,24,48,1560,-0.03633643826842306,0.13038901030882355,0.00854125339537859,-0.0064228898845613,0.33214905858039856,0.005726082716137171,0.02083333395421505,0.25046423077583313,0.05482883006334305,0.8375,0.22197037935256958,0.4348844587802887,,,,,,,,,,,,,
66,C0,24,48,1584,-0.004430592318375883,0.1347161115930429,0.009282880462706089,-0.000130360946059227,0.3353494107723236,-0.0020403522066771984,0.0,0.2036769986152649,0.0716998428106308,0.8375,0.21136163175106049,0.45822641253471375,,,,,,,,,,,,,
67,C0,24,48,1608,0.04483931966125968,0.14404283632419432,0.009911593049764633,-0.003487221896648407,0.31349143385887146,0.0006405375897884369,0.0,0.34684470295906067,0.034745603799819946,0.8125,0.18313993513584137,0.43508803844451904,,,,,,,,,,,,,
68,C0,24,48,1632,-0.00774292115370429,0.12684918144977936,0.008097614161670208,-0.0005209296941757202,0.3195573687553406,-0.006891213357448578,0.02083333395421505,0.4694769084453583,0.04074099659919739,0.7875,0.1816648691892624,0.4605351388454437,,,,,,,,,,,,,
69,C0,24,48,1656,-0.06280825867255527,0.13128488956615164,0.008568054996430874,-0.0039180913008749485,0.31704339385032654,0.001628237427212298,0.0,0.3633246123790741,0.029728906229138374,0.85,0.1989145278930664,0.4340369403362274,,,,,,,,,,,,,
70,C0,24,48,1680,0.04502891589701178,0.13786970661098202,0.009791617281734943,-0.0037803861778229475,0.33410581946372986,0.0057744174264371395,0.02083333395421505,0.13745038211345673,0.06831040233373642,0.8249999999999998,0.21685053408145905,0.4542345702648163,0.8333333333333334,0.14907119849998599,0.7,0.7,1.0,1.0,"[25, 9]",0.6666666666666666,2,0.6365141682948128,0.2174815833568573,0.44303304619259304,0.8333333333333334
71,C0,24,48,1704,0.03963783538341525,0.12922935241018813,0.008876606822013855,-0.022038215771317482,0.32057985663414,-0.03300066664814949,0.125,0.5159473419189453,0.0878525823354721,0.7875,0.2929334342479706,0.3693188428878784,,,,,,,,,,,,,
72,C0,24,48,1728,-0.03234152504801747,0.11374999575585865,0.0063167233020067215,-0.003117052838206291,0.4130665957927704,0.005452204495668411,0.02083333395421505,0.40090784430503845,0.023984916508197784,0.7875,0.38273873925209045,0.45434367656707764,,,,,,,,,,,,,
73,C0,24,48,1752,-0.06829154677689074,0.141710620969189,0.01018879096955061,-0.003076910972595215,0.3674848973751068,0.0015998677117750049,0.0,0.7897852063179016,0.0722883865237236,0.875,0.3613335192203522,0.3591127395629883,,,,,,,,,,,,,
74,C0,24,48,1776,0.0875784630874793,0.13111736688220532,0.008897300809621811,0.00021473814558703452,0.3756394684314728,-0.0006227599806152284,0.0,0.38376593589782715,0.052188679575920105,0.7999999999999999,0.32746297121047974,0.4279266595840454,,,,,,,,,,,,,
75,C0,24,48,1800,0.007895485614736904,0.1285577346742397,0.009609510190784931,-0.004858774598687887,0.359561562538147,-0.005471139680594206,0.0,0.4043249487876892,0.13079021871089935,0.8000000000000002,0.2805410623550415,0.42950746417045593,,,,,,,,,,,,,
76,C0,24,48,1824,-0.1429128151188294,0.1376508339333683,0.012211537919938564,0.000769786536693573,0.34766149520874023,0.03914186730980873,0.02083333395421505,0.399274080991745,0.18344783782958984,0.8875000000000001,0.2641659677028656,0.4272777736186981,,,,,,,,,,,,,
77,C0,24,48,1848,0.03765497532486918,0.1365964077345858,0.013291747309267521,-0.005833921488374472,0.36109209060668945,-0.004194218665361404,0.0,0.4575636386871338,0.21823574602603912,0.8249999999999998,0.23152637481689453,0.490094393491745,,,,,,,,,,,,,
78,C0,24,48,1872,0.06724707335730397,0.12921532717585724,0.009186463430523872,-0.005346988793462515,0.3192446529865265,0.014779149554669857,0.0416666679084301,0.30700409412384033,0.10670434683561325,0.7999999999999999,0.18147994577884674,0.4475655257701874,,,,,,,,,,,,,
79,C0,24,48,1896,-0.10789491099119185,0.1304315215544175,0.008781473152339458,-0.015173639170825481,0.3305707275867462,0.008502225391566753,0.0416666679084301,0.5893615484237671,0.08508075773715973,0.8624999999999999,0.12938524782657623,0.5270986557006836,,,,,,,,,,,,,
80,C0,24,48,1920,0.09044356226424378,0.1171723280669864,0.00917030405253172,0.0035586480516940355,0.3095255196094513,0.00019295979291200638,0.02083333395421505,0.5806878209114075,0.16883470118045807,0.7625000000000001,0.10677767544984818,0.5139434933662415,0.8333333333333334,0.14907119849998599,0.7,0.7,1.0,1.0,"[25, 9]",0.6666666666666666,2,0.6365141682948128,0.10698950290679932,0.5830662979020013,0.8333333333333334
